Leave_ID,Employee_ID,Leave_Date,Leave_Type,Leave_Days,Approval_Status
117,1170,2025-05-27,Emergency Leave,1,Pending
118,1356,2025-08-30,Sick Leave,1,Approved
119,1093,2025-12-09,Earned Leave,1,Pending
120,1437,2025-12-03,Emergency Leave,1,Approved
121,1257,2025-09-28,Sick Leave,1,Approved
122,1264,2025-07-10,Sick Leave,1,Approved
123,1126,2025-12-25,Sick Leave,1,Pending
124,1180,2025-08-11,Earned Leave,1,Pending
125,1226,2025-10-07,Sick Leave,2,Approved
126,1355,2025-01-17,Sick Leave,1,Approved
127,1426,2025-01-21,Casual Leave,1,Approved
128,1240,2025-07-25,Emergency Leave,2,Approved
129,1312,2025-06-03,Emergency Leave,1,Approved
130,1495,2025-11-30,Emergency Leave,1,Approved
131,1441,2025-07-19,Emergency Leave,1,Approved
132,1332,2025-06-14,Emergency Leave,1,Approved
133,1405,2025-01-10,Earned Leave,1,Approved
134,1292,2025-06-24,Earned Leave,2,Approved
135,1491,2025-03-12,Emergency Leave,1,Approved
136,1081,2025-05-09,Casual Leave,1,Approved
137,1292,2025-03-06,Emergency Leave,1,Approved
138,1361,2025-07-24,Emergency Leave,2,Approved
139,1080,2025-04-14,Earned Leave,1,Approved
140,1178,2025-04-06,Emergency Leave,2,Approved
141,1470,2025-10-06,Earned Leave,1,Approved
142,1060,2025-12-17,Earned Leave,1,Approved
143,1135,2025-11-25,Earned Leave,1,Approved
144,1464,2025-11-06,Earned Leave,2,Approved
145,1165,2025-06-08,Emergency Leave,2,Approved
146,1463,2025-11-23,Emergency Leave,1,Approved
147,1338,2025-04-12,Sick Leave,1,Approved
148,1452,2025-07-03,Emergency Leave,1,Approved
149,1173,2025-04-18,Earned Leave,1,Rejected
150,1101,2025-03-06,Sick Leave,1,Approved
151,1258,2025-02-15,Casual Leave,1,Approved
152,1224,2025-01-06,Emergency Leave,2,Approved
153,1366,2025-09-24,Earned Leave,1,Approved
154,1151,2025-12-30,Sick Leave,1,Approved
155,1411,2025-10-29,Sick Leave,2,Approved
156,1335,2025-04-25,Earned Leave,1,Rejected
157,1072,2025-06-28,Casual Leave,2,Approved
158,1310,2025-04-15,Earned Leave,1,Approved
159,1092,2025-04-28,Sick Leave,1,Approved
160,1046,2025-03-08,Casual Leave,2,Approved
161,1364,2025-06-23,Earned Leave,1,Approved
162,1463,2025-05-14,Casual Leave,1,Pending
163,1332,2025-11-09,Casual Leave,1,Approved
164,1109,2025-09-20,Casual Leave,1,Approved
165,1226,2025-06-03,Casual Leave,1,Pending
166,1364,2025-11-15,Sick Leave,1,Approved
167,1024,2025-12-28,Casual Leave,1,Approved
168,1246,2025-04-16,Emergency Leave,1,Approved
169,1344,2025-08-19,Earned Leave,2,Approved
170,1084,2025-08-09,Earned Leave,2,Approved
171,1164,2025-08-05,Sick Leave,2,Approved
172,1215,2025-08-31,Casual Leave,1,Approved
173,1026,2025-01-28,Emergency Leave,1,Pending
174,1060,2025-11-17,Sick Leave,1,Approved
175,1332,2025-06-02,Sick Leave,1,Approved
176,1275,2025-03-15,Emergency Leave,1,Pending
177,1063,2025-12-12,Earned Leave,1,Pending
178,1160,2025-08-28,Emergency Leave,1,Approved
179,1207,2025-09-04,Emergency Leave,1,Approved
180,1280,2025-09-02,Casual Leave,1,Approved
181,1442,2025-02-14,Emergency Leave,2,Approved
182,1174,2025-06-14,Earned Leave,1,Approved
183,1342,2025-05-20,Casual Leave,1,Rejected
184,1057,2025-04-14,Casual Leave,2,Approved
185,1424,2025-07-08,Earned Leave,2,Approved
186,1341,2025-12-29,Earned Leave,2,Rejected
187,1346,2025-10-20,Emergency Leave,1,Approved
188,1289,2025-12-12,Sick Leave,1,Approved
189,1336,2025-02-09,Sick Leave,1,Approved
190,1389,2025-08-29,Earned Leave,1,Approved
191,1175,2025-08-21,Earned Leave,1,Approved
192,1247,2025-04-28,Earned Leave,2,Pending
193,1373,2025-06-06,Earned Leave,1,Approved
194,1207,2025-07-20,Earned Leave,2,Rejected
195,1352,2025-10-08,Casual Leave,1,Approved
196,1184,2025-03-18,Casual Leave,2,Approved
197,1216,2025-09-27,Earned Leave,2,Approved
198,1112,2025-01-10,Sick Leave,1,Approved
199,1300,2025-03-16,Earned Leave,1,Rejected
200,1160,2025-07-30,Sick Leave,1,Approved
201,1186,2025-11-14,Emergency Leave,2,Approved
202,1081,2025-01-25,Casual Leave,1,Approved
203,1019,2025-03-03,Sick Leave,1,Approved
204,1010,2025-08-27,Earned Leave,1,Approved
205,1247,2025-02-09,Earned Leave,2,Pending
206,1388,2025-01-25,Sick Leave,1,Pending
207,1108,2025-01-19,Earned Leave,1,Approved
208,1298,2025-10-09,Emergency Leave,1,Approved
209,1454,2025-03-22,Sick Leave,1,Approved
210,1104,2025-04-02,Casual Leave,1,Approved
211,1095,2025-05-20,Emergency Leave,1,Approved
212,1421,2025-05-27,Sick Leave,1,Approved
213,1274,2025-06-05,Sick Leave,1,Approved
214,1028,2025-07-11,Sick Leave,1,Approved
215,1171,2025-09-03,Earned Leave,1,Approved
216,1137,2025-04-05,Casual Leave,2,Rejected
217,1227,2025-12-15,Emergency Leave,1,Approved
218,1007,2025-09-16,Sick Leave,1,Approved
219,1278,2025-04-06,Earned Leave,1,Approved
220,1293,2025-12-27,Earned Leave,1,Approved
221,1088,2025-03-17,Casual Leave,3,Approved
222,1047,2025-09-14,Casual Leave,1,Pending
223,1235,2025-12-03,Earned Leave,1,Pending
224,1267,2025-09-13,Casual Leave,1,Approved
225,1099,2025-01-26,Earned Leave,1,Approved
226,1282,2025-09-01,Emergency Leave,1,Approved
227,1160,2025-04-01,Earned Leave,1,Approved
228,1405,2025-04-01,Emergency Leave,1,Approved
229,1447,2025-07-02,Earned Leave,3,Pending
230,1425,2025-01-18,Casual Leave,3,Approved
231,1022,2025-12-24,Casual Leave,1,Approved
232,1088,2025-08-05,Earned Leave,1,Approved
233,1139,2025-10-02,Earned Leave,1,Approved
234,1195,2025-01-31,Earned Leave,1,Approved
235,1487,2025-06-30,Emergency Leave,3,Approved
236,1121,2025-10-18,Casual Leave,2,Approved
237,1089,2025-01-05,Casual Leave,1,Approved
238,1318,2025-03-05,Emergency Leave,1,Pending
239,1166,2025-01-11,Sick Leave,1,Approved
240,1230,2025-04-23,Casual Leave,1,Approved
241,1010,2025-03-04,Casual Leave,2,Rejected
242,1439,2025-02-17,Emergency Leave,1,Pending
243,1173,2025-11-27,Earned Leave,1,Pending
244,1232,2025-09-13,Casual Leave,1,Approved
245,1222,2025-06-29,Emergency Leave,1,Rejected
246,1198,2025-08-12,Sick Leave,2,Approved
247,1424,2025-02-07,Emergency Leave,2,Pending
248,1186,2025-11-22,Earned Leave,1,Rejected
249,1141,2025-05-25,Emergency Leave,1,Approved
250,1094,2025-11-30,Casual Leave,1,Pending
251,1222,2025-09-21,Emergency Leave,1,Approved
252,1436,2025-06-21,Sick Leave,1,Approved
253,1385,2025-12-28,Casual Leave,2,Approved
254,1449,2025-09-10,Emergency Leave,1,Approved
255,1139,2025-09-21,Emergency Leave,1,Approved
256,1296,2025-12-11,Earned Leave,1,Approved
257,1335,2025-11-26,Emergency Leave,1,Approved
258,1180,2025-07-30,Earned Leave,1,Approved
259,1301,2025-07-03,Emergency Leave,1,Approved
260,1429,2025-12-13,Emergency Leave,1,Approved
261,1104,2025-09-10,Sick Leave,1,Approved
262,1382,2025-04-23,Casual Leave,1,Approved
263,1335,2025-07-16,Earned Leave,1,Pending
264,1225,2025-12-14,Casual Leave,1,Rejected
265,1415,2025-08-10,Emergency Leave,1,Approved
266,1028,2025-07-07,Earned Leave,1,Approved
267,1328,2025-01-26,Emergency Leave,1,Approved
268,1210,2025-07-11,Earned Leave,1,Approved
269,1332,2025-02-17,Casual Leave,1,Approved
270,1131,2025-05-14,Earned Leave,1,Rejected
271,1419,2025-09-21,Casual Leave,2,Approved
272,1063,2025-02-21,Sick Leave,1,Rejected
273,1049,2025-08-27,Sick Leave,1,Rejected
274,1308,2025-01-10,Sick Leave,1,Approved
275,1102,2025-07-16,Sick Leave,2,Approved
276,1333,2025-01-19,Casual Leave,2,Approved
277,1152,2025-10-16,Casual Leave,1,Rejected
278,1466,2025-05-03,Earned Leave,1,Approved
279,1061,2025-10-10,Emergency Leave,1,Approved
280,1030,2025-09-21,Emergency Leave,1,Approved
281,1294,2025-11-19,Sick Leave,2,Rejected
282,1467,2025-05-07,Sick Leave,2,Approved
283,1427,2025-12-25,Emergency Leave,1,Approved
284,1117,2025-01-27,Earned Leave,1,Rejected
285,1108,2025-12-07,Sick Leave,1,Rejected
286,1320,2025-07-06,Emergency Leave,1,Approved
287,1484,2025-12-29,Sick Leave,1,Approved
288,1474,2025-09-15,Sick Leave,1,Approved
289,1440,2025-11-10,Earned Leave,2,Approved
290,1339,2025-01-02,Emergency Leave,1,Approved
291,1333,2025-08-02,Casual Leave,1,Approved
292,1257,2025-11-08,Sick Leave,1,Rejected
293,1278,2025-09-20,Sick Leave,1,Rejected
294,1065,2025-05-28,Earned Leave,2,Rejected
295,1030,2025-12-03,Earned Leave,1,Approved
296,1285,2025-01-07,Casual Leave,1,Rejected
297,1331,2025-01-14,Earned Leave,1,Approved
298,1302,2025-07-25,Casual Leave,1,Approved
299,1434,2025-02-07,Sick Leave,1,Approved
300,1093,2025-01-29,Sick Leave,2,Approved
301,1107,2025-01-18,Sick Leave,1,Pending
302,1358,2025-08-15,Earned Leave,2,Approved
303,1163,2025-06-12,Casual Leave,1,Approved
304,1149,2025-03-17,Emergency Leave,1,Rejected
305,1146,2025-08-02,Earned Leave,1,Approved
306,1486,2025-06-27,Sick Leave,2,Approved
307,1389,2025-12-23,Casual Leave,1,Approved
308,1350,2025-08-16,Earned Leave,1,Approved
309,1417,2025-06-14,Casual Leave,1,Pending
310,1481,2025-03-14,Sick Leave,2,Rejected
311,1128,2025-07-23,Earned Leave,1,Approved
312,1449,2025-09-08,Earned Leave,2,Approved
313,1118,2025-08-02,Emergency Leave,1,Rejected
314,1277,2025-04-20,Casual Leave,1,Approved
315,1057,2025-01-16,Emergency Leave,1,Rejected
316,1044,2025-11-23,Emergency Leave,1,Approved
317,1328,2025-10-04,Casual Leave,1,Rejected
318,1031,2025-08-18,Sick Leave,1,Approved
319,1116,2025-11-01,Casual Leave,1,Rejected
320,1227,2025-12-19,Earned Leave,2,Approved
321,1034,2025-10-05,Earned Leave,1,Approved
322,1223,2025-02-24,Casual Leave,1,Approved
323,1363,2025-06-19,Earned Leave,1,Approved
324,1482,2025-07-18,Sick Leave,1,Approved
325,1135,2025-08-20,Casual Leave,2,Approved
326,1005,2025-12-15,Emergency Leave,1,Approved
327,1393,2025-10-11,Emergency Leave,1,Approved
328,1440,2025-07-29,Emergency Leave,1,Approved
329,1200,2025-01-30,Earned Leave,1,Rejected
330,1298,2025-08-14,Sick Leave,2,Approved
331,1036,2025-11-01,Emergency Leave,1,Approved
332,1163,2025-11-18,Casual Leave,2,Approved
333,1120,2025-05-01,Sick Leave,2,Approved
334,1440,2025-08-05,Casual Leave,2,Approved
335,1214,2025-06-13,Casual Leave,2,Approved
336,1175,2025-08-15,Emergency Leave,1,Approved
337,1197,2025-06-06,Earned Leave,1,Approved
338,1353,2025-07-12,Casual Leave,2,Approved
339,1441,2025-02-27,Sick Leave,1,Approved
340,1173,2025-10-12,Emergency Leave,1,Approved
341,1492,2025-03-11,Earned Leave,1,Rejected
342,1015,2025-12-27,Sick Leave,1,Approved
343,1297,2025-02-18,Emergency Leave,1,Approved
344,1237,2025-12-27,Earned Leave,1,Approved
345,1256,2025-05-02,Emergency Leave,1,Approved
346,1489,2025-04-24,Emergency Leave,1,Approved
347,1342,2025-09-17,Emergency Leave,2,Approved
348,1115,2025-09-28,Earned Leave,1,Approved
349,1460,2025-04-23,Sick Leave,1,Approved
350,1118,2025-09-10,Earned Leave,2,Approved
351,1081,2025-01-09,Earned Leave,1,Pending
352,1215,2025-06-11,Casual Leave,1,Approved
353,1074,2025-05-15,Sick Leave,1,Approved
354,1302,2025-05-21,Sick Leave,1,Approved
355,1472,2025-08-04,Emergency Leave,1,Approved
356,1403,2025-02-12,Emergency Leave,1,Pending
357,1443,2025-03-07,Emergency Leave,1,Approved
358,1189,2025-05-18,Sick Leave,2,Approved
359,1358,2025-10-21,Emergency Leave,1,Approved
360,1082,2025-12-19,Earned Leave,1,Approved
361,1327,2025-05-13,Emergency Leave,1,Approved
362,1266,2025-11-27,Sick Leave,1,Approved
363,1479,2025-11-08,Emergency Leave,2,Approved
364,1297,2025-12-23,Casual Leave,1,Approved
365,1480,2025-02-23,Casual Leave,2,Approved
366,1427,2025-10-27,Casual Leave,2,Approved
367,1120,2025-09-03,Sick Leave,1,Pending
368,1081,2025-01-15,Casual Leave,2,Pending
369,1404,2025-06-01,Sick Leave,1,Approved
370,1268,2025-08-09,Emergency Leave,1,Rejected
371,1500,2025-05-19,Casual Leave,1,Rejected
372,1254,2025-11-27,Sick Leave,1,Approved
373,1343,2025-11-27,Sick Leave,2,Rejected
374,1348,2025-05-18,Sick Leave,1,Approved
375,1311,2025-05-23,Earned Leave,1,Approved
376,1030,2025-07-16,Sick Leave,1,Approved
377,1349,2025-04-01,Earned Leave,1,Approved
378,1294,2025-04-10,Emergency Leave,2,Pending
379,1289,2025-05-25,Earned Leave,1,Approved
380,1069,2025-08-10,Sick Leave,3,Rejected
381,1041,2025-11-07,Casual Leave,2,Approved
382,1127,2025-12-27,Emergency Leave,1,Approved
383,1286,2025-04-29,Earned Leave,1,Approved
384,1040,2025-07-01,Earned Leave,1,Rejected
385,1302,2025-02-01,Sick Leave,1,Approved
386,1358,2025-12-17,Earned Leave,1,Pending
387,1134,2025-05-15,Casual Leave,2,Approved
388,1445,2025-10-08,Casual Leave,2,Pending
389,1367,2025-04-01,Earned Leave,1,Approved
390,1096,2025-04-12,Earned Leave,1,Approved
391,1141,2025-03-04,Earned Leave,1,Approved
392,1427,2025-11-03,Emergency Leave,1,Approved
393,1192,2025-09-20,Emergency Leave,3,Approved
394,1214,2025-08-12,Earned Leave,1,Approved
395,1110,2025-10-10,Sick Leave,1,Approved
396,1447,2025-07-13,Casual Leave,3,Approved
397,1386,2025-06-09,Earned Leave,1,Approved
398,1445,2025-10-22,Earned Leave,1,Approved
399,1111,2025-01-07,Sick Leave,1,Pending
400,1307,2025-06-02,Emergency Leave,2,Approved
401,1491,2025-09-10,Earned Leave,1,Approved
402,1308,2025-09-01,Emergency Leave,2,Approved
403,1052,2025-05-03,Emergency Leave,3,Approved
404,1372,2025-07-02,Casual Leave,1,Approved
405,1049,2025-03-17,Casual Leave,1,Approved
406,1134,2025-06-13,Sick Leave,1,Rejected
407,1308,2025-02-11,Casual Leave,2,Pending
408,1342,2025-01-01,Casual Leave,1,Approved
409,1040,2025-03-23,Emergency Leave,2,Approved
410,1025,2025-03-18,Casual Leave,1,Approved
411,1024,2025-04-11,Sick Leave,2,Approved
412,1010,2025-06-09,Earned Leave,1,Approved
413,1074,2025-02-08,Sick Leave,1,Approved
414,1312,2025-06-15,Casual Leave,2,Approved
415,1236,2025-05-10,Sick Leave,2,Approved
416,1430,2025-01-03,Emergency Leave,1,Rejected
417,1388,2025-06-28,Emergency Leave,2,Approved
418,1416,2025-09-07,Earned Leave,2,Approved
419,1198,2025-04-22,Earned Leave,1,Approved
420,1198,2025-04-13,Casual Leave,1,Pending
421,1141,2025-11-28,Sick Leave,2,Approved
422,1467,2025-06-14,Casual Leave,1,Approved
423,1309,2025-09-04,Emergency Leave,1,Approved
424,1263,2025-02-11,Earned Leave,1,Approved
425,1017,2025-06-01,Sick Leave,2,Approved
426,1350,2025-02-21,Emergency Leave,2,Approved
427,1216,2025-11-11,Sick Leave,2,Approved
428,1339,2025-07-03,Casual Leave,1,Approved
429,1215,2025-09-26,Casual Leave,1,Rejected
430,1457,2025-03-23,Earned Leave,1,Rejected
431,1418,2025-09-07,Sick Leave,1,Pending
432,1061,2025-10-09,Emergency Leave,1,Approved
433,1230,2025-02-15,Sick Leave,2,Approved
434,1257,2025-08-06,Casual Leave,1,Pending
435,1231,2025-12-27,Emergency Leave,1,Rejected
436,1343,2025-08-04,Earned Leave,3,Approved
437,1152,2025-06-09,Sick Leave,2,Approved
438,1229,2025-10-11,Casual Leave,1,Approved
439,1319,2025-05-08,Sick Leave,1,Approved
440,1115,2025-05-09,Earned Leave,1,Approved
441,1489,2025-09-18,Sick Leave,1,Approved
442,1171,2025-12-07,Emergency Leave,2,Approved
443,1323,2025-06-27,Earned Leave,2,Approved
444,1470,2025-01-31,Emergency Leave,2,Rejected
445,1260,2025-10-08,Earned Leave,1,Approved
446,1202,2025-06-09,Casual Leave,1,Pending
447,1168,2025-09-27,Earned Leave,1,Approved
448,1160,2025-06-24,Earned Leave,1,Approved
449,1472,2025-09-23,Sick Leave,1,Approved
450,1305,2025-12-26,Earned Leave,1,Pending
451,1027,2025-04-18,Earned Leave,1,Approved
452,1242,2025-01-20,Emergency Leave,1,Approved
453,1124,2025-12-27,Earned Leave,1,Approved
454,1312,2025-05-02,Earned Leave,1,Approved
455,1316,2025-03-14,Earned Leave,2,Approved
456,1188,2025-10-18,Casual Leave,1,Approved
457,1475,2025-12-07,Earned Leave,2,Rejected
458,1472,2025-05-02,Earned Leave,2,Rejected
459,1276,2025-01-21,Casual Leave,1,Approved
460,1205,2025-03-03,Earned Leave,2,Approved
461,1458,2025-04-08,Casual Leave,1,Approved
462,1112,2025-05-18,Sick Leave,2,Approved
463,1168,2025-12-08,Earned Leave,2,Approved
464,1132,2025-04-15,Casual Leave,1,Approved
465,1205,2025-10-01,Sick Leave,1,Approved
466,1278,2025-12-12,Sick Leave,1,Approved
467,1085,2025-11-09,Sick Leave,1,Approved
468,1257,2025-01-30,Casual Leave,1,Approved
469,1480,2025-05-26,Emergency Leave,1,Approved
470,1222,2025-04-24,Casual Leave,1,Approved
471,1162,2025-12-31,Emergency Leave,1,Approved
472,1204,2025-04-04,Sick Leave,1,Approved
473,1197,2025-03-06,Emergency Leave,1,Approved
474,1336,2025-11-28,Casual Leave,3,Approved
475,1351,2025-08-12,Emergency Leave,1,Approved
476,1171,2025-08-24,Sick Leave,2,Approved
477,1410,2025-10-07,Emergency Leave,1,Approved
478,1481,2025-06-14,Emergency Leave,1,Rejected
479,1058,2025-10-29,Emergency Leave,1,Rejected
480,1047,2025-09-17,Emergency Leave,1,Approved
481,1168,2025-05-20,Earned Leave,1,Approved
482,1072,2025-09-05,Emergency Leave,2,Rejected
483,1169,2025-07-08,Casual Leave,1,Rejected
484,1415,2025-11-29,Emergency Leave,2,Approved
485,1153,2025-11-16,Sick Leave,3,Approved
486,1089,2025-08-26,Sick Leave,1,Approved
487,1429,2025-10-22,Sick Leave,1,Approved
488,1490,2025-05-09,Emergency Leave,1,Approved
489,1017,2025-03-01,Sick Leave,1,Approved
490,1087,2025-10-07,Emergency Leave,2,Pending
491,1022,2025-12-19,Casual Leave,1,Approved
492,1210,2025-05-21,Earned Leave,1,Approved
493,1052,2025-11-27,Casual Leave,1,Approved
494,1300,2025-05-20,Earned Leave,1,Approved
495,1482,2025-08-31,Sick Leave,1,Approved
496,1263,2025-03-20,Emergency Leave,1,Approved
497,1147,2025-05-20,Casual Leave,2,Approved
498,1102,2025-06-05,Emergency Leave,3,Approved
499,1105,2025-08-24,Earned Leave,1,Approved
500,1032,2025-10-26,Earned Leave,2,Approved
501,1017,2025-10-15,Emergency Leave,1,Approved
502,1030,2025-02-20,Earned Leave,1,Approved
503,1028,2025-09-11,Sick Leave,1,Approved
504,1125,2025-01-02,Emergency Leave,2,Approved
505,1011,2025-03-03,Sick Leave,1,Approved
506,1088,2025-06-04,Earned Leave,2,Approved
507,1382,2025-12-08,Emergency Leave,1,Approved
508,1142,2025-10-01,Sick Leave,1,Approved
509,1056,2025-02-28,Earned Leave,1,Approved
510,1113,2025-04-30,Emergency Leave,1,Approved
511,1459,2025-06-12,Emergency Leave,3,Approved
512,1116,2025-04-04,Emergency Leave,1,Approved
513,1451,2025-10-20,Sick Leave,1,Rejected
514,1354,2025-04-24,Casual Leave,1,Approved
515,1496,2025-07-21,Sick Leave,1,Pending
516,1257,2025-05-26,Earned Leave,1,Approved
517,1051,2025-06-03,Earned Leave,1,Approved
518,1421,2025-04-28,Earned Leave,1,Approved
519,1089,2025-02-27,Emergency Leave,2,Approved
520,1402,2025-01-26,Casual Leave,2,Approved
521,1171,2025-01-04,Sick Leave,1,Approved
522,1388,2025-06-11,Sick Leave,1,Approved
523,1274,2025-10-07,Emergency Leave,1,Approved
524,1059,2025-08-31,Emergency Leave,1,Approved
525,1209,2025-04-03,Earned Leave,2,Approved
526,1357,2025-09-03,Casual Leave,1,Approved
527,1246,2025-10-29,Sick Leave,1,Approved
528,1120,2025-07-25,Sick Leave,1,Pending
529,1094,2025-09-13,Earned Leave,1,Rejected
530,1431,2025-04-24,Casual Leave,1,Pending
531,1354,2025-03-16,Casual Leave,1,Approved
532,1439,2025-02-03,Casual Leave,1,Approved
533,1286,2025-08-30,Earned Leave,1,Pending
534,1061,2025-08-18,Emergency Leave,1,Approved
535,1451,2025-05-19,Emergency Leave,2,Pending
536,1005,2025-11-10,Emergency Leave,1,Approved
537,1171,2025-12-09,Earned Leave,2,Rejected
538,1186,2025-05-30,Earned Leave,1,Approved
539,1399,2025-01-05,Emergency Leave,1,Approved
540,1466,2025-11-22,Earned Leave,1,Approved
541,1474,2025-08-17,Emergency Leave,1,Approved
542,1261,2025-03-23,Emergency Leave,1,Pending
543,1440,2025-02-20,Casual Leave,2,Approved
544,1262,2025-05-11,Sick Leave,1,Approved
545,1431,2025-04-24,Sick Leave,1,Rejected
546,1474,2025-04-10,Emergency Leave,3,Approved
547,1100,2025-04-29,Sick Leave,2,Pending
548,1389,2025-02-09,Earned Leave,2,Approved
