Attendance_ID,Employee_ID,Date,Status,Working_Hours,Overtime_Hours
180,1001,2025-03-21,Present,8.0,1.0
181,1001,2025-05-01,Present,9.3,2.5
182,1001,2025-07-16,Present,9.2,0.9
183,1001,2025-10-14,Present,9.4,0.9
184,1001,2025-11-06,Present,7.3,1.0
185,1001,2025-02-21,Leave,0.0,0.0
186,1001,2025-04-16,Present,9.1,0.0
187,1001,2025-03-06,Leave,0.0,0.0
188,1001,2025-04-30,Present,8.4,0.5
189,1001,2025-09-08,Present,7.9,0.1
190,1001,2025-06-27,WFH,9.2,1.6
191,1001,2025-01-03,Present,8.8,0.0
192,1001,2025-03-26,WFH,7.1,1.6
193,1001,2025-04-29,Present,8.3,3.3
194,1001,2025-08-20,Present,8.6,1.4
195,1001,2025-12-01,Present,7.1,0.0
196,1001,2025-07-08,Present,8.4,0.2
197,1001,2025-08-22,Present,7.7,0.9
198,1001,2025-07-11,WFH,9.0,1.4
199,1001,2025-10-13,Present,7.0,1.5
200,1001,2025-05-21,Present,8.9,1.8
201,1001,2025-04-08,Present,8.8,0.6
202,1001,2025-03-17,Present,8.2,1.4
203,1001,2025-12-30,Present,8.9,0.9
204,1001,2025-03-20,Present,8.7,0.4
205,1001,2025-08-25,Present,8.9,1.1
206,1001,2025-03-27,Present,9.1,0.0
207,1001,2025-10-24,WFH,9.5,1.4
208,1001,2025-05-13,Present,7.8,1.6
209,1001,2025-04-07,Present,8.9,1.0
210,1001,2025-12-10,Present,7.5,1.3
211,1002,2025-09-22,Present,7.3,0.0
212,1002,2025-01-13,Present,8.6,0.0
213,1002,2025-12-12,Present,8.0,0.4
214,1002,2025-08-13,Absent,0.0,0.0
215,1002,2025-10-29,Present,8.0,0.5
216,1002,2025-06-20,Present,9.2,0.0
217,1002,2025-11-17,Present,8.8,1.1
218,1002,2025-07-29,WFH,7.6,1.0
219,1002,2025-01-22,Present,8.0,1.5
220,1002,2025-12-09,Present,8.3,0.1
221,1002,2025-10-10,Present,9.1,2.6
222,1002,2025-04-22,Present,9.1,2.0
223,1002,2025-10-15,Present,7.9,0.9
224,1002,2025-10-28,Leave,0.0,0.0
225,1002,2025-01-03,Present,9.1,3.2
226,1002,2025-02-14,Present,8.4,0.0
227,1002,2025-01-27,Present,7.1,2.3
228,1002,2025-05-16,Present,8.7,0.1
229,1002,2025-11-26,Absent,0.0,0.0
230,1002,2025-01-16,WFH,8.0,0.1
231,1002,2025-01-09,WFH,7.1,1.7
232,1002,2025-08-01,Present,8.6,0.1
233,1002,2025-02-03,WFH,7.5,1.2
234,1002,2025-03-11,Present,7.6,1.3
235,1002,2025-12-17,Present,7.4,0.0
236,1002,2025-03-20,Present,8.0,1.2
237,1002,2025-01-06,Present,8.0,1.1
238,1002,2025-02-10,Present,7.0,1.8
239,1002,2025-07-01,Present,7.6,2.5
240,1002,2025-05-20,Present,9.1,1.3
241,1002,2025-10-17,WFH,8.0,0.4
242,1002,2025-04-09,Present,7.1,0.0
243,1002,2025-01-28,Present,8.5,2.1
244,1002,2025-02-19,Present,9.0,0.7
245,1002,2025-02-26,Present,8.0,0.8
246,1002,2025-11-28,WFH,8.4,1.8
247,1002,2025-10-14,Present,9.3,0.0
248,1002,2025-09-11,Present,8.4,0.7
249,1002,2025-06-27,Absent,0.0,0.0
250,1002,2025-05-28,Absent,0.0,0.0
251,1002,2025-10-31,Present,7.6,0.2
252,1002,2025-06-17,Absent,0.0,0.0
253,1002,2025-04-23,WFH,7.2,0.0
254,1002,2025-04-24,Leave,0.0,0.0
255,1002,2025-05-21,Present,7.5,0.2
256,1002,2025-12-23,Present,7.1,0.0
257,1002,2025-11-06,Present,8.0,0.4
258,1002,2025-06-25,Present,7.4,2.1
259,1002,2025-04-14,Present,7.4,1.1
260,1002,2025-04-18,Present,7.7,0.0
261,1002,2025-07-22,Present,7.1,0.0
262,1002,2025-02-18,Present,8.0,0.0
263,1002,2025-11-12,Present,7.6,1.4
264,1002,2025-03-04,Leave,0.0,0.0
265,1002,2025-01-20,Leave,0.0,0.0
266,1002,2025-10-02,Present,7.6,0.0
267,1002,2025-09-23,Present,9.1,0.3
268,1002,2025-10-30,Present,9.1,0.0
269,1002,2025-08-07,Present,7.9,0.5
270,1002,2025-10-22,Present,7.7,1.7
271,1002,2025-08-14,Leave,0.0,0.0
272,1002,2025-09-30,Present,8.2,2.6
273,1002,2025-05-12,Present,8.0,0.0
274,1002,2025-12-02,Present,9.1,0.0
275,1002,2025-08-08,Present,9.3,1.7
276,1002,2025-03-27,Present,8.9,1.3
277,1002,2025-01-10,Present,9.0,1.5
278,1002,2025-07-23,Present,9.2,0.1
279,1002,2025-07-08,Present,7.3,0.3
280,1002,2025-07-16,Present,8.5,1.7
281,1002,2025-02-27,Present,8.7,0.0
282,1002,2025-12-11,Present,8.9,2.6
283,1002,2025-10-03,Present,8.7,1.4
284,1002,2025-07-11,Present,7.5,0.0
285,1002,2025-04-21,Present,7.3,1.9
286,1002,2025-06-24,Present,8.8,1.1
287,1002,2025-01-30,Present,8.2,0.6
288,1002,2025-12-18,Present,7.0,1.3
289,1002,2025-01-01,Present,7.6,0.9
290,1002,2025-05-14,Present,8.4,0.5
291,1002,2025-08-11,Present,7.7,1.0
292,1002,2025-10-13,Present,9.2,0.9
293,1002,2025-09-09,Present,8.4,0.0
294,1002,2025-09-18,Present,8.5,0.8
295,1002,2025-12-24,Present,9.3,0.0
296,1002,2025-10-20,Present,7.7,0.5
297,1002,2025-12-25,Present,8.7,0.9
298,1002,2025-12-08,Present,8.7,1.0
299,1002,2025-06-12,WFH,7.7,1.5
300,1002,2025-11-11,Present,8.5,0.0
301,1002,2025-11-20,Present,8.8,2.0
302,1002,2025-09-12,Present,7.9,0.0
303,1002,2025-04-17,Present,7.2,0.0
304,1002,2025-05-06,Present,8.8,1.1
305,1002,2025-02-24,Present,7.3,0.0
306,1002,2025-09-16,Present,8.4,0.0
307,1002,2025-05-08,Leave,0.0,0.0
308,1002,2025-01-15,WFH,8.4,0.0
309,1002,2025-02-11,Present,7.9,0.8
310,1002,2025-03-12,Present,8.0,0.5
311,1002,2025-03-25,Present,7.2,0.6
312,1002,2025-04-01,Present,9.5,2.2
313,1002,2025-01-02,Leave,0.0,0.0
314,1002,2025-06-23,WFH,8.5,0.0
315,1002,2025-09-03,Absent,0.0,0.0
316,1002,2025-04-07,Present,7.8,2.5
317,1002,2025-05-09,Present,7.8,0.0
318,1002,2025-12-15,Present,8.6,1.0
319,1002,2025-03-24,Present,8.8,0.0
320,1002,2025-12-19,Present,9.2,2.6
321,1002,2025-11-03,Present,7.5,0.8
322,1002,2025-03-18,Present,7.7,2.9
323,1002,2025-03-14,Leave,0.0,0.0
324,1002,2025-06-02,Present,7.3,0.0
325,1002,2025-08-25,WFH,7.3,3.4
326,1002,2025-06-26,Present,7.2,0.2
327,1002,2025-03-26,Present,7.3,2.0
328,1002,2025-04-15,Present,8.6,3.1
329,1002,2025-04-10,Absent,0.0,0.0
330,1002,2025-07-09,Present,8.2,0.0
331,1002,2025-10-21,Present,8.5,1.6
332,1002,2025-08-04,Leave,0.0,0.0
333,1002,2025-08-28,Absent,0.0,0.0
334,1002,2025-09-26,Present,8.8,2.2
335,1002,2025-10-01,Present,7.5,0.0
336,1002,2025-12-29,Present,8.4,1.5
337,1002,2025-03-31,Present,7.8,0.6
338,1002,2025-01-31,Present,8.9,0.0
339,1002,2025-08-29,Present,8.0,2.0
340,1002,2025-01-24,Present,8.1,1.5
341,1002,2025-05-07,Present,7.3,0.7
342,1002,2025-03-06,Present,9.4,0.2
343,1002,2025-05-30,Present,8.3,0.6
344,1002,2025-11-14,Present,8.6,0.0
345,1002,2025-05-29,Present,9.2,0.0
346,1002,2025-08-21,Present,8.0,0.1
347,1002,2025-04-08,Present,7.2,2.8
348,1002,2025-07-04,Absent,0.0,0.0
349,1002,2025-12-22,WFH,8.6,3.2
350,1002,2025-06-18,Present,8.0,0.3
351,1002,2025-01-29,Present,7.3,0.0
352,1002,2025-09-10,Present,7.5,0.4
353,1002,2025-03-05,Present,8.4,1.8
354,1002,2025-06-03,Present,7.9,1.1
355,1002,2025-07-18,Absent,0.0,0.0
356,1002,2025-12-26,Present,7.2,1.7
357,1002,2025-09-01,Present,7.7,0.9
358,1002,2025-06-11,Present,7.4,2.8
359,1002,2025-08-12,Present,9.3,0.0
360,1002,2025-11-25,Present,8.5,3.1
361,1002,2025-06-19,Absent,0.0,0.0
362,1002,2025-07-02,Absent,0.0,0.0
363,1002,2025-04-02,Present,9.4,0.4
364,1002,2025-05-05,Present,9.2,1.2
365,1002,2025-10-06,Present,9.3,0.0
366,1002,2025-06-05,Present,8.2,0.1
367,1002,2025-05-01,Present,8.6,0.4
368,1002,2025-12-10,Present,7.1,1.6
369,1002,2025-07-15,Present,7.5,1.0
370,1002,2025-04-28,Present,7.1,1.2
371,1002,2025-05-13,Present,7.9,1.2
372,1002,2025-09-02,Absent,0.0,0.0
373,1002,2025-03-03,Present,9.1,2.0
374,1002,2025-10-16,Present,8.0,1.4
375,1002,2025-08-15,WFH,8.4,0.0
376,1002,2025-01-21,Present,8.4,1.3
377,1002,2025-06-06,Present,7.1,2.2
378,1002,2025-02-06,Present,7.6,1.4
379,1002,2025-01-07,Present,7.2,0.0
380,1002,2025-12-16,Present,7.5,0.6
381,1002,2025-09-08,Present,7.1,1.1
382,1002,2025-01-14,Present,8.0,0.0
383,1002,2025-10-09,Absent,0.0,0.0
384,1002,2025-07-25,Present,8.3,2.5
385,1002,2025-02-05,Leave,0.0,0.0
386,1002,2025-04-11,Present,9.4,2.7
387,1002,2025-06-13,Present,7.2,2.9
388,1002,2025-07-31,Present,9.4,1.4
389,1002,2025-04-03,Leave,0.0,0.0
390,1002,2025-02-17,Present,7.2,0.7
391,1002,2025-02-04,Present,8.3,0.7
392,1002,2025-07-17,Present,7.9,1.8
393,1002,2025-11-04,Present,7.0,0.0
394,1002,2025-02-12,Present,8.6,0.5
395,1002,2025-04-16,Present,7.1,0.0
396,1002,2025-10-08,Present,7.4,2.3
397,1002,2025-07-21,Present,8.0,1.5
398,1002,2025-06-04,Present,7.2,1.3
399,1002,2025-07-10,Present,8.4,0.3
400,1002,2025-08-05,Present,9.3,0.6
401,1002,2025-08-20,Present,9.0,0.4
402,1002,2025-07-03,WFH,7.6,0.8
403,1002,2025-06-09,Present,8.0,0.9
404,1002,2025-09-24,Present,9.4,1.3
405,1002,2025-05-15,Present,8.8,0.3
406,1002,2025-02-25,Present,8.4,1.2
407,1002,2025-03-07,Leave,0.0,0.0
408,1002,2025-08-26,Present,8.7,1.3
409,1002,2025-06-30,Present,8.0,0.0
410,1002,2025-11-07,Present,9.5,1.9
411,1002,2025-11-10,Present,8.7,0.0
412,1002,2025-11-19,Present,9.4,0.5
413,1002,2025-05-19,Leave,0.0,0.0
414,1002,2025-09-17,Leave,0.0,0.0
415,1002,2025-11-18,WFH,7.5,2.2
416,1002,2025-09-19,Present,8.0,0.0
417,1002,2025-05-27,Present,8.5,0.0
418,1002,2025-02-13,Present,8.4,1.1
419,1002,2025-10-23,Present,7.5,2.0
420,1002,2025-03-13,Present,7.7,0.2
421,1003,2025-05-12,Present,9.1,1.3
422,1003,2025-11-10,Present,9.1,1.6
423,1003,2025-03-26,Present,8.7,1.7
424,1003,2025-03-03,Present,7.3,0.5
425,1003,2025-07-04,Present,9.2,1.9
426,1003,2025-12-01,Present,7.6,2.3
427,1003,2025-06-20,WFH,7.7,0.3
428,1003,2025-08-27,Present,7.0,2.2
429,1003,2025-10-08,Present,9.4,0.0
430,1003,2025-02-28,Present,8.3,0.0
431,1003,2025-10-07,Present,9.2,4.0
432,1003,2025-12-17,Present,9.5,3.1
433,1003,2025-04-09,Present,7.2,1.8
434,1003,2025-03-06,Present,8.1,2.5
435,1003,2025-05-16,Absent,0.0,0.0
436,1003,2025-09-22,Present,9.1,0.0
437,1003,2025-07-14,Present,7.6,2.6
438,1003,2025-05-22,Present,8.3,1.7
439,1003,2025-07-29,WFH,8.1,0.0
440,1003,2025-12-19,WFH,7.9,0.0
441,1003,2025-06-10,Present,9.3,0.4
442,1003,2025-11-19,Leave,0.0,0.0
443,1003,2025-03-20,Present,7.4,1.1
444,1003,2025-05-29,Present,7.3,1.0
445,1003,2025-02-14,Present,7.9,2.2
446,1003,2025-09-18,Present,7.3,0.0
447,1003,2025-09-16,Present,9.5,2.1
448,1003,2025-08-26,Present,8.1,0.4
449,1003,2025-07-11,Present,8.3,1.1
450,1003,2025-03-17,Present,9.5,0.8
451,1003,2025-10-10,Present,7.6,1.0
452,1003,2025-11-05,Leave,0.0,0.0
453,1003,2025-08-06,Present,8.8,0.8
454,1003,2025-10-29,Present,7.0,0.0
455,1003,2025-08-11,Absent,0.0,0.0
456,1003,2025-10-03,Present,9.1,0.3
457,1003,2025-01-30,Present,7.8,0.0
458,1003,2025-02-13,Present,7.5,0.0
459,1003,2025-06-09,Present,7.7,0.0
460,1003,2025-07-28,Leave,0.0,0.0
461,1003,2025-08-12,Leave,0.0,0.0
462,1003,2025-09-15,Present,7.8,0.0
463,1003,2025-10-30,Present,9.4,0.6
464,1003,2025-07-08,Present,7.8,0.5
465,1003,2025-05-20,Present,9.0,1.1
466,1003,2025-11-26,Present,7.2,0.0
467,1003,2025-03-14,Leave,0.0,0.0
468,1003,2025-11-17,Present,9.1,0.0
469,1003,2025-12-08,WFH,7.6,0.9
470,1003,2025-05-28,Leave,0.0,0.0
471,1003,2025-04-16,Present,9.1,0.8
472,1003,2025-02-05,Present,9.3,0.5
473,1003,2025-10-21,Leave,0.0,0.0
474,1003,2025-12-15,Absent,0.0,0.0
475,1003,2025-03-05,Leave,0.0,0.0
476,1003,2025-07-09,Present,7.7,0.0
477,1003,2025-05-07,Present,8.4,0.0
478,1003,2025-04-01,Present,8.7,0.3
479,1003,2025-06-23,Present,9.0,0.0
480,1003,2025-05-15,Present,8.6,1.0
481,1003,2025-09-05,Present,7.9,0.0
482,1003,2025-09-09,Present,7.1,0.7
483,1003,2025-02-03,Present,7.4,1.2
484,1003,2025-01-08,Present,9.4,1.2
485,1003,2025-06-06,Present,9.5,0.3
486,1003,2025-02-19,Present,8.9,2.0
487,1003,2025-09-30,Present,7.4,0.0
488,1003,2025-10-14,WFH,9.3,1.1
489,1003,2025-02-06,Absent,0.0,0.0
490,1003,2025-10-06,Present,7.8,1.7
491,1003,2025-11-06,Present,8.6,0.0
492,1003,2025-03-28,Present,9.0,0.4
493,1003,2025-01-23,Present,7.3,0.2
494,1003,2025-11-20,Present,8.6,0.1
495,1003,2025-04-10,Present,8.7,1.9
496,1003,2025-08-19,Present,8.2,0.3
497,1003,2025-12-30,Absent,0.0,0.0
498,1003,2025-08-08,Present,7.3,0.5
499,1003,2025-09-10,Present,7.1,1.6
500,1003,2025-01-09,Present,7.8,0.9
501,1003,2025-03-10,Present,8.0,0.2
502,1003,2025-01-20,Present,7.4,0.3
503,1003,2025-10-23,Leave,0.0,0.0
504,1003,2025-10-31,Present,8.2,0.5
505,1003,2025-12-23,Present,7.8,1.1
506,1003,2025-09-03,Leave,0.0,0.0
507,1003,2025-04-04,Present,8.3,2.5
508,1003,2025-09-08,Present,7.4,0.6
509,1003,2025-09-01,Present,8.9,1.4
510,1003,2025-03-27,Present,9.4,1.4
511,1003,2025-06-13,Leave,0.0,0.0
512,1003,2025-12-05,Present,7.6,2.3
513,1003,2025-03-24,Present,7.6,1.1
514,1003,2025-04-30,Present,7.9,1.0
515,1003,2025-04-25,WFH,8.1,0.0
516,1003,2025-07-15,Leave,0.0,0.0
517,1003,2025-06-27,Present,8.9,0.6
518,1003,2025-04-28,Absent,0.0,0.0
519,1003,2025-11-21,Present,8.1,0.4
520,1003,2025-04-24,Absent,0.0,0.0
521,1003,2025-08-21,WFH,8.6,1.8
522,1003,2025-12-02,Present,9.0,0.5
523,1003,2025-12-16,Present,8.0,1.9
524,1003,2025-09-19,Present,8.1,0.1
525,1003,2025-12-12,Present,7.5,2.1
526,1003,2025-06-26,Present,8.4,0.1
527,1003,2025-08-05,Present,8.2,0.0
528,1003,2025-10-16,Present,9.4,0.0
529,1003,2025-08-07,Leave,0.0,0.0
530,1003,2025-10-28,Present,8.8,0.0
531,1003,2025-04-23,Present,8.1,0.5
532,1003,2025-03-18,Present,7.1,0.5
533,1003,2025-05-30,WFH,7.6,1.8
534,1003,2025-08-13,Present,7.4,1.3
535,1003,2025-03-11,Present,8.5,1.7
536,1003,2025-10-02,WFH,8.4,1.6
537,1003,2025-12-04,Present,8.6,0.5
538,1003,2025-10-17,Absent,0.0,0.0
539,1003,2025-06-16,Present,8.0,0.0
540,1003,2025-08-15,Present,9.1,1.7
541,1003,2025-03-12,Present,8.9,0.4
542,1003,2025-12-25,Leave,0.0,0.0
543,1003,2025-04-18,Present,8.1,1.3
544,1003,2025-02-10,Present,8.6,0.0
545,1003,2025-07-02,Present,7.5,0.7
546,1003,2025-04-29,Present,9.1,0.6
547,1003,2025-09-24,Present,8.1,0.8
548,1003,2025-03-31,Present,7.1,1.6
549,1003,2025-12-24,Present,7.3,1.1
550,1003,2025-05-23,Present,8.5,0.0
551,1003,2025-01-31,Present,7.9,1.1
552,1003,2025-03-25,Present,9.3,0.9
553,1003,2025-03-19,Present,8.5,1.4
554,1003,2025-07-01,Present,8.5,0.0
555,1003,2025-08-18,Present,8.3,1.0
556,1003,2025-10-24,Present,9.0,0.0
557,1003,2025-11-12,Present,7.2,2.7
558,1003,2025-02-20,Present,7.7,0.0
559,1003,2025-01-16,Present,7.9,0.0
560,1003,2025-06-17,Present,7.1,0.8
561,1003,2025-07-16,Present,7.8,2.4
562,1003,2025-10-09,Present,7.2,1.2
563,1003,2025-08-20,WFH,8.3,0.0
564,1003,2025-01-15,Present,8.1,1.4
565,1003,2025-11-14,Present,7.3,0.3
566,1003,2025-10-27,Present,8.3,1.4
567,1003,2025-06-03,Present,7.2,0.0
568,1003,2025-04-03,Present,7.1,1.0
569,1003,2025-01-10,Absent,0.0,0.0
570,1003,2025-09-17,Present,7.1,2.0
571,1003,2025-05-13,Present,8.1,0.6
572,1003,2025-04-14,Present,8.1,2.5
573,1003,2025-08-28,Present,7.8,2.6
574,1003,2025-09-02,Present,7.9,1.0
575,1003,2025-01-17,WFH,9.4,0.5
576,1003,2025-05-09,Leave,0.0,0.0
577,1003,2025-01-02,Present,8.8,1.7
578,1003,2025-06-04,Present,8.2,0.0
579,1003,2025-10-01,Present,7.7,1.3
580,1003,2025-04-21,Present,8.2,0.6
581,1003,2025-01-28,Leave,0.0,0.0
582,1003,2025-01-07,Present,8.4,0.0
583,1003,2025-04-07,Leave,0.0,0.0
584,1003,2025-03-13,Present,8.3,0.0
585,1003,2025-06-18,Present,7.0,0.7
586,1003,2025-11-13,Present,7.2,1.2
587,1003,2025-07-18,Present,9.3,0.0
588,1003,2025-10-15,Present,8.9,1.0
589,1003,2025-07-03,Present,9.2,1.5
590,1003,2025-08-04,Present,7.3,1.1
591,1003,2025-12-31,Present,7.5,1.0
592,1003,2025-12-29,Present,7.8,1.1
593,1003,2025-01-13,Present,8.9,0.0
594,1003,2025-11-18,Present,7.1,0.7
595,1003,2025-01-06,Present,8.2,0.4
596,1003,2025-01-21,Present,8.9,0.5
597,1003,2025-10-13,Present,8.4,2.1
598,1003,2025-09-26,Leave,0.0,0.0
599,1003,2025-11-03,Present,8.3,0.6
600,1003,2025-01-24,Leave,0.0,0.0
