Performance_ID,Employee_ID,Review_Month,Performance_Score,Productivity_Score,Manager_Rating
103,1009,2025-07-01,4.0,70.1,4.6
104,1009,2025-08-01,8.0,65.4,9.7
105,1009,2025-09-01,8.5,64.1,9.3
106,1009,2025-10-01,7.6,76.7,7.4
107,1009,2025-11-01,8.9,80.4,9.3
108,1009,2025-12-01,9.6,78.1,9.7
109,1010,2025-01-01,7.5,78.3,6.9
110,1010,2025-02-01,8.5,73.7,9.2
111,1010,2025-03-01,7.8,80.2,8.2
112,1010,2025-04-01,5.8,84.1,5.8
113,1010,2025-05-01,6.8,76.5,6.3
114,1010,2025-06-01,8.4,58.5,10.0
115,1010,2025-07-01,7.0,66.6,7.8
116,1010,2025-08-01,6.8,63.2,6.0
117,1010,2025-09-01,7.3,83.1,8.3
118,1010,2025-10-01,7.5,82.7,6.9
119,1010,2025-11-01,5.7,82.3,5.7
120,1010,2025-12-01,5.7,72.0,5.2
121,1011,2025-01-01,6.2,54.2,5.1
122,1011,2025-02-01,5.9,73.4,7.4
123,1011,2025-03-01,9.4,86.4,9.5
124,1011,2025-04-01,8.3,74.2,8.1
125,1011,2025-05-01,7.6,80.1,8.3
126,1011,2025-06-01,8.8,75.4,8.6
127,1011,2025-07-01,6.8,71.2,5.7
128,1011,2025-08-01,6.7,67.1,6.8
129,1011,2025-09-01,6.7,61.6,7.2
130,1011,2025-10-01,8.0,70.0,7.2
131,1011,2025-11-01,7.6,78.2,7.3
132,1011,2025-12-01,9.2,92.4,7.8
133,1012,2025-01-01,7.9,70.7,7.6
134,1012,2025-02-01,5.9,71.7,6.0
135,1012,2025-03-01,5.7,52.5,6.3
136,1012,2025-04-01,7.9,79.8,7.9
137,1012,2025-05-01,9.3,81.4,10.0
138,1012,2025-06-01,7.3,60.5,7.3
139,1012,2025-07-01,6.0,70.2,6.7
140,1012,2025-08-01,8.5,66.3,8.5
141,1012,2025-09-01,7.5,75.1,7.1
142,1012,2025-10-01,6.0,88.0,6.9
143,1012,2025-11-01,4.4,87.9,5.1
144,1012,2025-12-01,6.0,98.1,4.2
145,1013,2025-01-01,5.9,74.5,7.0
146,1013,2025-02-01,7.3,71.5,7.4
147,1013,2025-03-01,6.0,52.2,4.9
148,1013,2025-04-01,8.0,46.6,7.3
149,1013,2025-05-01,9.7,93.2,10.0
150,1013,2025-06-01,6.6,88.0,7.4
151,1013,2025-07-01,6.4,67.8,7.4
152,1013,2025-08-01,7.3,57.6,8.2
153,1013,2025-09-01,8.0,72.7,7.4
154,1013,2025-10-01,6.8,68.9,5.1
155,1013,2025-11-01,5.7,79.3,6.2
156,1013,2025-12-01,9.2,89.0,8.0
157,1014,2025-01-01,7.0,71.3,7.5
158,1014,2025-02-01,7.6,85.0,7.2
159,1014,2025-03-01,6.1,86.6,4.8
160,1014,2025-04-01,5.4,59.4,6.3
161,1014,2025-05-01,6.8,64.6,7.6
162,1014,2025-06-01,4.2,57.0,4.5
163,1014,2025-07-01,6.7,71.0,5.7
164,1014,2025-08-01,7.6,59.2,9.8
165,1014,2025-09-01,7.3,92.2,6.8
166,1014,2025-10-01,6.3,62.5,6.0
167,1014,2025-11-01,7.5,63.5,7.3
168,1014,2025-12-01,5.6,45.2,4.2
169,1015,2025-01-01,8.0,72.5,6.3
170,1015,2025-02-01,4.4,72.2,4.4
171,1015,2025-03-01,8.4,77.6,9.3
172,1015,2025-04-01,7.3,78.4,8.6
173,1015,2025-05-01,8.3,76.5,9.6
174,1015,2025-06-01,4.8,75.8,4.9
175,1015,2025-07-01,8.3,75.3,8.6
176,1015,2025-08-01,,93.8,7.1
177,1015,2025-09-01,7.6,68.2,8.6
178,1015,2025-10-01,7.0,83.2,6.1
179,1015,2025-11-01,8.4,34.0,8.3
180,1015,2025-12-01,5.5,150.0,5.2
181,1016,2025-01-01,8.9,72.4,9.3
182,1016,2025-02-01,6.8,45.3,6.9
183,1016,2025-03-01,7.5,76.8,8.7
184,1016,2025-04-01,9.3,100.0,8.6
185,1016,2025-05-01,9.9,88.9,9.7
186,1016,2025-06-01,9.2,95.1,9.7
187,1016,2025-07-01,7.0,69.3,7.3
188,1016,2025-08-01,5.9,63.7,4.3
189,1016,2025-09-01,4.3,66.5,4.3
190,1016,2025-10-01,6.1,58.9,5.9
191,1016,2025-11-01,4.9,73.0,7.0
192,1016,2025-12-01,7.4,89.2,8.9
193,1017,2025-01-01,7.2,64.7,6.4
194,1017,2025-02-01,8.5,49.7,8.8
195,1017,2025-03-01,8.7,65.9,8.2
196,1017,2025-04-01,7.1,73.5,7.2
197,1017,2025-05-01,7.4,68.2,9.2
198,1017,2025-06-01,5.1,56.7,5.1
199,1017,2025-07-01,7.9,81.0,6.8
200,1017,2025-08-01,7.7,68.1,8.9
201,1017,2025-09-01,8.0,82.9,10.0
202,1017,2025-10-01,7.2,79.9,7.2
203,1017,2025-11-01,7.6,67.2,7.7
204,1017,2025-12-01,7.7,88.8,7.4
205,1018,2025-01-01,5.8,81.0,6.1
206,1018,2025-02-01,7.5,58.5,6.7
207,1018,2025-03-01,7.5,57.9,7.5
208,1018,2025-04-01,9.1,55.7,8.7
209,1018,2025-05-01,6.9,67.9,8.0
210,1018,2025-06-01,7.2,71.1,5.3
211,1018,2025-07-01,7.5,77.1,8.1
212,1018,2025-08-01,4.6,45.7,3.7
213,1018,2025-09-01,6.9,93.9,7.0
214,1018,2025-10-01,3.9,87.7,5.7
215,1018,2025-11-01,7.7,75.2,8.7
216,1018,2025-12-01,6.9,98.9,7.5
217,1019,2025-01-01,6.6,64.8,5.1
218,1019,2025-02-01,5.7,50.1,6.1
219,1019,2025-03-01,9.3,74.3,8.7
220,1019,2025-04-01,8.1,100.0,6.8
221,1019,2025-05-01,6.1,56.1,5.3
222,1019,2025-06-01,7.0,80.2,7.9
223,1019,2025-07-01,6.2,76.3,5.2
224,1019,2025-08-01,8.4,83.1,9.0
225,1019,2025-09-01,9.4,71.2,8.3
226,1019,2025-10-01,7.4,79.5,8.4
227,1019,2025-11-01,6.3,79.2,6.5
228,1019,2025-12-01,5.6,75.8,5.4
229,1020,2025-01-01,6.5,84.8,8.0
230,1020,2025-02-01,8.1,65.2,7.3
231,1020,2025-03-01,8.0,72.0,7.9
232,1020,2025-04-01,7.7,86.6,7.8
233,1020,2025-05-01,6.9,76.1,6.8
234,1020,2025-06-01,8.7,73.2,9.8
235,1020,2025-07-01,6.8,63.1,8.0
236,1020,2025-08-01,7.5,93.6,8.6
237,1020,2025-09-01,6.8,59.3,6.8
238,1020,2025-10-01,5.4,78.7,5.0
239,1020,2025-11-01,5.8,30.0,5.4
240,1020,2025-12-01,10.0,91.2,8.9
241,1021,2025-01-01,7.6,80.7,7.2
242,1021,2025-02-01,7.9,69.7,7.4
243,1021,2025-03-01,7.0,43.7,8.7
244,1021,2025-04-01,7.3,57.5,6.8
245,1021,2025-05-01,6.0,78.3,8.4
246,1021,2025-06-01,6.7,51.8,6.5
247,1021,2025-07-01,9.3,92.1,8.6
248,1021,2025-08-01,8.1,90.1,9.2
249,1021,2025-09-01,9.4,94.7,9.2
250,1021,2025-10-01,8.1,73.4,6.7
251,1021,2025-11-01,6.5,70.7,8.4
252,1021,2025-12-01,5.9,59.4,8.1
253,1022,2025-01-01,6.9,74.9,6.5
254,1022,2025-02-01,7.1,69.9,6.3
255,1022,2025-03-01,10.0,89.6,10.0
256,1022,2025-04-01,8.4,63.4,8.1
257,1022,2025-05-01,5.0,72.1,5.2
258,1022,2025-06-01,6.6,71.0,6.4
259,1022,2025-07-01,8.3,81.7,9.0
260,1022,2025-08-01,5.2,76.2,4.3
261,1022,2025-09-01,6.9,63.5,5.2
262,1022,2025-10-01,7.6,60.6,7.8
263,1022,2025-11-01,7.3,85.2,7.2
264,1022,2025-12-01,6.9,80.6,6.4
265,1023,2025-01-01,7.2,82.7,6.2
266,1023,2025-02-01,5.1,72.1,5.6
267,1023,2025-03-01,5.2,39.2,6.2
268,1023,2025-04-01,6.2,64.4,6.6
269,1023,2025-05-01,6.9,79.6,6.8
270,1023,2025-06-01,7.1,60.2,6.1
271,1023,2025-07-01,5.7,61.3,6.0
272,1023,2025-08-01,7.3,38.9,7.9
273,1023,2025-09-01,8.5,90.1,8.5
274,1023,2025-10-01,8.1,66.0,7.4
275,1023,2025-11-01,7.4,84.4,6.7
276,1023,2025-12-01,8.4,100.0,8.2
277,1024,2025-01-01,8.4,56.3,8.1
278,1024,2025-02-01,9.0,67.5,10.0
279,1024,2025-03-01,8.7,67.2,7.0
280,1024,2025-04-01,7.7,89.7,6.6
281,1024,2025-05-01,7.9,75.2,9.1
282,1024,2025-06-01,8.8,78.2,8.3
283,1024,2025-07-01,7.8,67.6,7.2
284,1024,2025-08-01,5.4,52.0,4.9
285,1024,2025-09-01,9.4,62.6,10.0
286,1024,2025-10-01,8.3,84.6,7.9
287,1024,2025-11-01,6.8,55.5,7.9
288,1024,2025-12-01,,75.1,5.3
289,1025,2025-01-01,7.8,82.2,8.4
290,1025,2025-02-01,7.0,70.8,7.1
291,1025,2025-03-01,6.4,84.8,6.0
292,1025,2025-04-01,6.8,73.0,6.6
293,1025,2025-05-01,6.0,60.5,5.3
294,1025,2025-06-01,8.8,76.9,8.8
295,1025,2025-07-01,9.8,69.1,10.0
296,1025,2025-08-01,9.8,78.6,10.0
297,1025,2025-09-01,6.4,79.3,5.7
298,1025,2025-10-01,8.9,98.7,8.9
299,1025,2025-11-01,6.4,49.1,6.6
300,1025,2025-12-01,7.4,57.1,8.1
301,1026,2025-01-01,8.5,92.9,8.2
302,1026,2025-02-01,8.8,61.0,7.8
303,1026,2025-03-01,5.4,60.8,4.5
304,1026,2025-04-01,8.3,58.8,7.4
305,1026,2025-05-01,5.6,76.2,5.1
306,1026,2025-06-01,8.1,94.0,8.7
307,1026,2025-07-01,7.8,60.3,6.9
308,1026,2025-08-01,7.8,86.8,8.7
309,1026,2025-09-01,8.1,59.2,9.1
310,1026,2025-10-01,8.0,81.5,9.5
311,1026,2025-11-01,7.9,83.7,7.1
312,1026,2025-12-01,6.8,88.6,5.6
313,1027,2025-01-01,6.4,83.3,8.6
314,1027,2025-02-01,7.1,57.6,7.0
315,1027,2025-03-01,4.3,83.8,5.1
316,1027,2025-04-01,7.2,48.2,7.5
317,1027,2025-05-01,7.8,62.7,7.7
318,1027,2025-06-01,6.0,100.0,6.0
319,1027,2025-07-01,8.8,62.4,9.9
320,1027,2025-08-01,7.3,57.4,8.2
321,1027,2025-09-01,7.5,88.9,6.0
322,1027,2025-10-01,9.3,96.4,9.4
323,1027,2025-11-01,8.1,88.6,7.2
324,1027,2025-12-01,7.8,53.4,8.6
325,1028,2025-01-01,8.9,66.5,9.5
326,1028,2025-02-01,6.6,62.7,6.3
327,1028,2025-03-01,8.4,76.2,9.2
328,1028,2025-04-01,7.6,78.3,8.3
329,1028,2025-05-01,8.2,72.7,6.3
330,1028,2025-06-01,5.1,70.0,4.7
331,1028,2025-07-01,8.8,50.5,9.3
332,1028,2025-08-01,8.9,79.4,10.0
333,1028,2025-09-01,5.1,70.1,5.0
334,1028,2025-10-01,7.2,62.0,6.9
335,1028,2025-11-01,7.8,88.9,8.9
336,1028,2025-12-01,7.1,93.3,8.1
337,1029,2025-01-01,9.4,78.3,7.6
338,1029,2025-02-01,7.1,47.2,7.3
339,1029,2025-03-01,5.2,66.4,6.5
340,1029,2025-04-01,3.4,69.3,4.2
341,1029,2025-05-01,5.7,80.5,4.7
342,1029,2025-06-01,9.4,69.6,9.5
343,1029,2025-07-01,6.4,84.3,6.3
344,1029,2025-08-01,6.1,83.4,6.4
345,1029,2025-09-01,4.3,91.2,3.0
346,1029,2025-10-01,9.1,79.2,8.8
347,1029,2025-11-01,7.9,73.6,7.8
348,1029,2025-12-01,7.1,81.0,7.5
349,1030,2025-01-01,8.3,83.8,9.3
350,1030,2025-02-01,3.7,68.6,4.3
351,1030,2025-03-01,7.7,44.8,7.1
352,1030,2025-04-01,7.0,93.1,7.8
353,1030,2025-05-01,6.7,82.7,7.0
354,1030,2025-06-01,7.8,45.6,8.8
355,1030,2025-07-01,9.4,78.2,8.3
356,1030,2025-08-01,6.4,57.7,6.8
357,1030,2025-09-01,6.9,67.1,7.5
358,1030,2025-10-01,8.9,81.1,7.2
359,1030,2025-11-01,8.1,61.7,8.1
360,1030,2025-12-01,5.9,61.6,5.5
361,1031,2025-01-01,7.5,71.8,7.4
362,1031,2025-02-01,6.8,54.8,6.9
363,1031,2025-03-01,8.0,71.5,7.7
364,1031,2025-04-01,9.9,81.7,10.0
365,1031,2025-05-01,7.8,62.7,7.1
366,1031,2025-06-01,7.1,76.6,7.5
367,1031,2025-07-01,6.2,65.5,7.0
368,1031,2025-08-01,9.4,83.9,9.8
369,1031,2025-09-01,8.6,57.8,8.3
370,1031,2025-10-01,6.3,82.8,7.7
371,1031,2025-11-01,8.0,83.1,7.1
372,1031,2025-12-01,9.7,76.2,10.0
373,1032,2025-01-01,7.8,100.0,7.1
374,1032,2025-02-01,6.7,78.5,5.5
375,1032,2025-03-01,7.7,90.5,6.1
376,1032,2025-04-01,7.1,55.0,8.1
377,1032,2025-05-01,7.7,75.4,8.0
378,1032,2025-06-01,6.3,63.1,7.9
379,1032,2025-07-01,5.6,63.4,5.5
380,1032,2025-08-01,7.2,71.1,6.4
381,1032,2025-09-01,,88.3,9.7
382,1032,2025-10-01,8.0,63.1,9.0
383,1032,2025-11-01,7.6,95.9,9.3
384,1032,2025-12-01,8.2,93.6,7.8
385,1033,2025-01-01,9.8,45.5,9.6
386,1033,2025-02-01,4.4,96.0,5.5
387,1033,2025-03-01,8.7,72.9,9.6
388,1033,2025-04-01,7.5,66.1,7.6
389,1033,2025-05-01,,52.9,8.6
390,1033,2025-06-01,8.7,72.1,7.0
391,1033,2025-07-01,7.2,65.7,6.9
392,1033,2025-08-01,6.9,48.9,7.5
393,1033,2025-09-01,5.7,100.0,6.4
394,1033,2025-10-01,7.4,73.6,9.7
395,1033,2025-11-01,10.0,91.6,9.9
396,1033,2025-12-01,9.8,89.8,10.0
397,1034,2025-01-01,6.5,45.8,6.5
398,1034,2025-02-01,8.5,92.1,8.6
399,1034,2025-03-01,8.3,53.3,8.8
400,1034,2025-04-01,5.6,73.7,5.4
401,1034,2025-05-01,6.1,82.8,4.7
402,1034,2025-06-01,9.3,85.3,9.8
403,1034,2025-07-01,8.8,50.8,9.7
404,1034,2025-08-01,6.5,92.1,6.4
405,1034,2025-09-01,7.2,70.5,6.6
406,1034,2025-10-01,7.0,92.9,7.5
407,1034,2025-11-01,7.8,83.6,8.1
408,1034,2025-12-01,6.1,80.6,5.9
409,1035,2025-01-01,8.3,60.8,8.5
410,1035,2025-02-01,7.7,71.4,8.0
411,1035,2025-03-01,6.1,87.3,6.2
412,1035,2025-04-01,7.8,76.1,9.5
413,1035,2025-05-01,9.1,54.7,10.0
414,1035,2025-06-01,6.6,75.4,6.2
415,1035,2025-07-01,8.0,82.2,7.7
416,1035,2025-08-01,7.7,73.5,7.9
417,1035,2025-09-01,7.0,64.2,7.6
418,1035,2025-10-01,5.0,72.1,4.7
419,1035,2025-11-01,8.6,53.3,10.0
420,1035,2025-12-01,7.0,87.6,8.4
421,1036,2025-01-01,7.2,80.3,7.1
422,1036,2025-02-01,6.8,77.3,6.9
423,1036,2025-03-01,6.9,76.9,6.9
424,1036,2025-04-01,5.4,52.4,5.8
425,1036,2025-05-01,8.6,86.2,10.0
426,1036,2025-06-01,9.9,76.9,10.0
427,1036,2025-07-01,7.1,100.0,8.4
428,1036,2025-08-01,7.7,83.9,8.4
429,1036,2025-09-01,7.4,75.4,5.8
430,1036,2025-10-01,5.1,75.6,4.5
431,1036,2025-11-01,8.8,100.0,7.9
432,1036,2025-12-01,5.2,61.6,4.0
433,1037,2025-01-01,7.1,59.6,6.4
434,1037,2025-02-01,8.3,86.5,7.5
435,1037,2025-03-01,6.3,60.6,6.2
436,1037,2025-04-01,8.1,59.2,8.4
437,1037,2025-05-01,9.2,80.3,10.0
438,1037,2025-06-01,7.3,72.2,8.0
439,1037,2025-07-01,6.6,63.9,8.5
440,1037,2025-08-01,6.4,77.6,6.4
441,1037,2025-09-01,5.9,71.4,5.1
442,1037,2025-10-01,8.1,91.4,7.6
443,1037,2025-11-01,7.9,82.4,8.5
444,1037,2025-12-01,7.8,92.7,9.1
445,1038,2025-01-01,8.8,75.4,7.9
446,1038,2025-02-01,8.8,89.2,7.4
447,1038,2025-03-01,7.0,89.8,6.5
448,1038,2025-04-01,7.9,68.9,8.0
449,1038,2025-05-01,9.1,73.1,9.3
450,1038,2025-06-01,5.4,70.8,5.7
451,1038,2025-07-01,8.8,65.9,7.9
452,1038,2025-08-01,9.6,78.2,8.4
453,1038,2025-09-01,7.7,100.0,7.8
454,1038,2025-10-01,8.2,96.4,6.9
455,1038,2025-11-01,5.8,60.1,5.2
456,1038,2025-12-01,5.9,88.3,5.3
457,1039,2025-01-01,6.1,68.3,4.9
458,1039,2025-02-01,9.0,61.9,10.0
459,1039,2025-03-01,4.7,82.3,4.0
460,1039,2025-04-01,7.5,73.7,6.4
461,1039,2025-05-01,6.8,68.3,5.0
462,1039,2025-06-01,7.5,76.1,9.0
463,1039,2025-07-01,8.2,93.0,9.1
464,1039,2025-08-01,7.7,45.2,7.4
465,1039,2025-09-01,6.1,75.7,7.1
466,1039,2025-10-01,2.9,91.1,2.8
467,1039,2025-11-01,7.9,92.9,8.4
468,1039,2025-12-01,5.4,60.2,5.2
469,1040,2025-01-01,6.5,91.2,6.4
470,1040,2025-02-01,7.0,64.7,9.2
471,1040,2025-03-01,5.4,76.8,5.5
472,1040,2025-04-01,6.3,88.2,7.0
473,1040,2025-05-01,5.3,92.3,4.9
474,1040,2025-06-01,5.9,39.3,5.8
475,1040,2025-07-01,6.1,54.6,6.7
476,1040,2025-08-01,6.6,82.0,7.6
477,1040,2025-09-01,4.4,58.7,3.9
478,1040,2025-10-01,7.7,66.7,7.8
479,1040,2025-11-01,9.6,72.2,9.4
480,1040,2025-12-01,5.8,77.6,7.0
481,1041,2025-01-01,6.5,54.6,6.9
482,1041,2025-02-01,5.3,88.2,5.7
483,1041,2025-03-01,7.5,55.6,6.8
484,1041,2025-04-01,7.4,92.9,8.4
485,1041,2025-05-01,7.2,81.5,6.5
486,1041,2025-06-01,6.3,86.1,7.8
487,1041,2025-07-01,8.7,97.9,8.7
488,1041,2025-08-01,8.4,87.9,8.4
489,1041,2025-09-01,6.8,81.6,7.4
490,1041,2025-10-01,3.6,75.7,4.7
491,1041,2025-11-01,6.8,71.3,8.0
492,1041,2025-12-01,8.3,64.2,8.9
493,1042,2025-01-01,7.6,74.7,6.3
494,1042,2025-02-01,5.4,100.0,4.3
495,1042,2025-03-01,7.4,89.4,6.4
496,1042,2025-04-01,7.0,52.3,6.7
497,1042,2025-05-01,4.6,91.5,5.6
498,1042,2025-06-01,5.1,94.1,4.2
499,1042,2025-07-01,8.6,92.6,10.0
500,1042,2025-08-01,6.1,90.2,6.1
501,1042,2025-09-01,9.8,95.0,10.0
502,1042,2025-10-01,7.8,56.3,7.0
503,1042,2025-11-01,7.8,77.3,8.3
504,1042,2025-12-01,3.8,73.0,2.5
505,1043,2025-01-01,7.1,75.5,7.9
506,1043,2025-02-01,7.6,62.5,6.9
507,1043,2025-03-01,5.9,61.8,6.0
508,1043,2025-04-01,3.8,83.4,6.4
509,1043,2025-05-01,7.1,83.3,6.4
510,1043,2025-06-01,8.1,69.1,8.6
511,1043,2025-07-01,6.5,79.5,7.5
512,1043,2025-08-01,7.3,58.8,8.4
513,1043,2025-09-01,6.0,93.0,5.1
514,1043,2025-10-01,7.4,73.7,7.3
515,1043,2025-11-01,7.9,77.2,7.3
516,1043,2025-12-01,8.1,72.2,8.9
517,1044,2025-01-01,6.0,85.1,6.8
518,1044,2025-02-01,5.6,67.4,4.4
519,1044,2025-03-01,7.3,42.8,7.1
520,1044,2025-04-01,9.1,91.9,8.3
521,1044,2025-05-01,6.9,87.3,7.8
522,1044,2025-06-01,6.9,53.4,7.0
523,1044,2025-07-01,6.7,100.0,6.9
524,1044,2025-08-01,5.6,76.9,5.4
525,1044,2025-09-01,7.8,97.0,8.0
526,1044,2025-10-01,5.2,48.0,6.6
527,1044,2025-11-01,7.6,86.5,7.4
528,1044,2025-12-01,5.2,58.3,5.3
529,1045,2025-01-01,7.0,74.9,7.3
530,1045,2025-02-01,7.5,36.9,6.2
531,1045,2025-03-01,5.8,100.0,4.5
532,1045,2025-04-01,5.7,82.3,7.5
533,1045,2025-05-01,5.9,84.5,5.8
534,1045,2025-06-01,6.2,100.0,6.0
535,1045,2025-07-01,5.6,90.1,5.3
536,1045,2025-08-01,9.0,43.7,9.5
537,1045,2025-09-01,7.4,48.7,8.8
538,1045,2025-10-01,5.0,100.0,6.2
539,1045,2025-11-01,8.1,70.0,8.0
540,1045,2025-12-01,7.5,77.9,7.4
541,1046,2025-01-01,7.0,74.7,6.8
542,1046,2025-02-01,6.2,72.9,7.0
543,1046,2025-03-01,7.1,50.2,7.8
544,1046,2025-04-01,5.3,88.4,5.5
545,1046,2025-05-01,6.0,85.0,5.2
546,1046,2025-06-01,6.1,70.0,5.1
547,1046,2025-07-01,9.5,63.3,8.8
548,1046,2025-08-01,8.1,68.6,8.2
549,1046,2025-09-01,6.6,55.1,7.2
550,1046,2025-10-01,8.9,100.0,8.5
551,1046,2025-11-01,8.1,71.2,7.4
552,1046,2025-12-01,6.6,88.1,7.7
553,1047,2025-01-01,7.8,97.8,5.3
554,1047,2025-02-01,4.7,91.5,5.9
555,1047,2025-03-01,7.1,70.3,6.9
556,1047,2025-04-01,7.6,86.7,8.1
557,1047,2025-05-01,6.3,49.2,6.2
558,1047,2025-06-01,7.5,95.3,6.9
559,1047,2025-07-01,6.9,72.1,6.9
560,1047,2025-08-01,7.6,50.1,7.5
561,1047,2025-09-01,7.5,98.5,8.6
562,1047,2025-10-01,8.5,86.8,8.2
563,1047,2025-11-01,7.8,65.1,7.7
564,1047,2025-12-01,4.6,66.7,4.5
565,1048,2025-01-01,8.0,39.2,9.8
566,1048,2025-02-01,7.6,100.0,7.6
567,1048,2025-03-01,5.8,64.8,6.4
568,1048,2025-04-01,7.6,60.9,6.6
569,1048,2025-05-01,7.6,76.0,7.1
570,1048,2025-06-01,9.0,100.0,9.2
571,1048,2025-07-01,5.8,74.7,6.0
572,1048,2025-08-01,3.8,79.6,3.8
573,1048,2025-09-01,7.1,93.7,7.1
574,1048,2025-10-01,8.2,55.3,8.5
575,1048,2025-11-01,8.1,55.6,7.5
576,1048,2025-12-01,8.3,79.7,8.0
577,1049,2025-01-01,9.0,78.7,7.1
578,1049,2025-02-01,7.9,71.0,7.8
579,1049,2025-03-01,5.7,64.5,5.2
580,1049,2025-04-01,9.2,73.9,8.8
