Performance_ID,Employee_ID,Review_Month,Performance_Score,Productivity_Score,Manager_Rating,Review_Year,Review_Month_Number,Review_Month_Name
93,1008,2025-09-01,5.8,100.0,5.8,2025,9,September
94,1008,2025-10-01,8.8,92.5,7.6,2025,10,October
95,1008,2025-11-01,8.0,74.1,8.2,2025,11,November
96,1008,2025-12-01,5.2,74.4,5.2,2025,12,December
97,1009,2025-01-01,5.4,96.0,5.9,2025,1,January
98,1009,2025-02-01,6.7,80.6,5.8,2025,2,February
99,1009,2025-03-01,7.5,60.7,7.6,2025,3,March
100,1009,2025-04-01,10.0,78.7,9.6,2025,4,April
101,1009,2025-05-01,6.1,56.5,4.9,2025,5,May
102,1009,2025-06-01,2.8,77.6,3.5,2025,6,June
103,1009,2025-07-01,4.0,70.1,4.6,2025,7,July
104,1009,2025-08-01,8.0,65.4,9.7,2025,8,August
105,1009,2025-09-01,8.5,64.1,9.3,2025,9,September
106,1009,2025-10-01,7.6,76.7,7.4,2025,10,October
107,1009,2025-11-01,8.9,80.4,9.3,2025,11,November
108,1009,2025-12-01,9.6,78.1,9.7,2025,12,December
109,1010,2025-01-01,7.5,78.3,6.9,2025,1,January
110,1010,2025-02-01,8.5,73.7,9.2,2025,2,February
111,1010,2025-03-01,7.8,80.2,8.2,2025,3,March
112,1010,2025-04-01,5.8,84.1,5.8,2025,4,April
113,1010,2025-05-01,6.8,76.5,6.3,2025,5,May
114,1010,2025-06-01,8.4,58.5,10.0,2025,6,June
115,1010,2025-07-01,7.0,66.6,7.8,2025,7,July
116,1010,2025-08-01,6.8,63.2,6.0,2025,8,August
117,1010,2025-09-01,7.3,83.1,8.3,2025,9,September
118,1010,2025-10-01,7.5,82.7,6.9,2025,10,October
119,1010,2025-11-01,5.7,82.3,5.7,2025,11,November
120,1010,2025-12-01,5.7,72.0,5.2,2025,12,December
121,1011,2025-01-01,6.2,54.2,5.1,2025,1,January
122,1011,2025-02-01,5.9,73.4,7.4,2025,2,February
123,1011,2025-03-01,9.4,86.4,9.5,2025,3,March
124,1011,2025-04-01,8.3,74.2,8.1,2025,4,April
125,1011,2025-05-01,7.6,80.1,8.3,2025,5,May
126,1011,2025-06-01,8.8,75.4,8.6,2025,6,June
127,1011,2025-07-01,6.8,71.2,5.7,2025,7,July
128,1011,2025-08-01,6.7,67.1,6.8,2025,8,August
129,1011,2025-09-01,6.7,61.6,7.2,2025,9,September
130,1011,2025-10-01,8.0,70.0,7.2,2025,10,October
131,1011,2025-11-01,7.6,78.2,7.3,2025,11,November
132,1011,2025-12-01,9.2,92.4,7.8,2025,12,December
133,1012,2025-01-01,7.9,70.7,7.6,2025,1,January
134,1012,2025-02-01,5.9,71.7,6.0,2025,2,February
135,1012,2025-03-01,5.7,52.5,6.3,2025,3,March
136,1012,2025-04-01,7.9,79.8,7.9,2025,4,April
137,1012,2025-05-01,9.3,81.4,10.0,2025,5,May
138,1012,2025-06-01,7.3,60.5,7.3,2025,6,June
139,1012,2025-07-01,6.0,70.2,6.7,2025,7,July
140,1012,2025-08-01,8.5,66.3,8.5,2025,8,August
141,1012,2025-09-01,7.5,75.1,7.1,2025,9,September
142,1012,2025-10-01,6.0,88.0,6.9,2025,10,October
143,1012,2025-11-01,4.4,87.9,5.1,2025,11,November
144,1012,2025-12-01,6.0,98.1,4.2,2025,12,December
145,1013,2025-01-01,5.9,74.5,7.0,2025,1,January
146,1013,2025-02-01,7.3,71.5,7.4,2025,2,February
147,1013,2025-03-01,6.0,52.2,4.9,2025,3,March
148,1013,2025-04-01,8.0,46.6,7.3,2025,4,April
149,1013,2025-05-01,9.7,93.2,10.0,2025,5,May
150,1013,2025-06-01,6.6,88.0,7.4,2025,6,June
151,1013,2025-07-01,6.4,67.8,7.4,2025,7,July
152,1013,2025-08-01,7.3,57.6,8.2,2025,8,August
153,1013,2025-09-01,8.0,72.7,7.4,2025,9,September
154,1013,2025-10-01,6.8,68.9,5.1,2025,10,October
155,1013,2025-11-01,5.7,79.3,6.2,2025,11,November
156,1013,2025-12-01,9.2,89.0,8.0,2025,12,December
157,1014,2025-01-01,7.0,71.3,7.5,2025,1,January
158,1014,2025-02-01,7.6,85.0,7.2,2025,2,February
159,1014,2025-03-01,6.1,86.6,4.8,2025,3,March
160,1014,2025-04-01,5.4,59.4,6.3,2025,4,April
161,1014,2025-05-01,6.8,64.6,7.6,2025,5,May
162,1014,2025-06-01,4.2,57.0,4.5,2025,6,June
163,1014,2025-07-01,6.7,71.0,5.7,2025,7,July
164,1014,2025-08-01,7.6,59.2,9.8,2025,8,August
165,1014,2025-09-01,7.3,92.2,6.8,2025,9,September
166,1014,2025-10-01,6.3,62.5,6.0,2025,10,October
167,1014,2025-11-01,7.5,63.5,7.3,2025,11,November
168,1014,2025-12-01,5.6,45.2,4.2,2025,12,December
169,1015,2025-01-01,8.0,72.5,6.3,2025,1,January
170,1015,2025-02-01,4.4,72.2,4.4,2025,2,February
171,1015,2025-03-01,8.4,77.6,9.3,2025,3,March
172,1015,2025-04-01,7.3,78.4,8.6,2025,4,April
173,1015,2025-05-01,8.3,76.5,9.6,2025,5,May
174,1015,2025-06-01,4.8,75.8,4.9,2025,6,June
175,1015,2025-07-01,8.3,75.3,8.6,2025,7,July
176,1015,2025-08-01,7.2,93.8,7.1,2025,8,August
177,1015,2025-09-01,7.6,68.2,8.6,2025,9,September
178,1015,2025-10-01,7.0,83.2,6.1,2025,10,October
179,1015,2025-11-01,8.4,34.0,8.3,2025,11,November
180,1015,2025-12-01,5.5,75.2,5.2,2025,12,December
181,1016,2025-01-01,8.9,72.4,9.3,2025,1,January
182,1016,2025-02-01,6.8,45.3,6.9,2025,2,February
183,1016,2025-03-01,7.5,76.8,8.7,2025,3,March
184,1016,2025-04-01,9.3,100.0,8.6,2025,4,April
185,1016,2025-05-01,9.9,88.9,9.7,2025,5,May
186,1016,2025-06-01,9.2,95.1,9.7,2025,6,June
187,1016,2025-07-01,7.0,69.3,7.3,2025,7,July
188,1016,2025-08-01,5.9,63.7,4.3,2025,8,August
189,1016,2025-09-01,4.3,66.5,4.3,2025,9,September
190,1016,2025-10-01,6.1,58.9,5.9,2025,10,October
191,1016,2025-11-01,4.9,73.0,7.0,2025,11,November
192,1016,2025-12-01,7.4,89.2,8.9,2025,12,December
193,1017,2025-01-01,7.2,64.7,6.4,2025,1,January
194,1017,2025-02-01,8.5,49.7,8.8,2025,2,February
195,1017,2025-03-01,8.7,65.9,8.2,2025,3,March
196,1017,2025-04-01,7.1,73.5,7.2,2025,4,April
197,1017,2025-05-01,7.4,68.2,9.2,2025,5,May
198,1017,2025-06-01,5.1,56.7,5.1,2025,6,June
199,1017,2025-07-01,7.9,81.0,6.8,2025,7,July
200,1017,2025-08-01,7.7,68.1,8.9,2025,8,August
201,1017,2025-09-01,8.0,82.9,10.0,2025,9,September
202,1017,2025-10-01,7.2,79.9,7.2,2025,10,October
203,1017,2025-11-01,7.6,67.2,7.7,2025,11,November
204,1017,2025-12-01,7.7,88.8,7.4,2025,12,December
205,1018,2025-01-01,5.8,81.0,6.1,2025,1,January
206,1018,2025-02-01,7.5,58.5,6.7,2025,2,February
207,1018,2025-03-01,7.5,57.9,7.5,2025,3,March
208,1018,2025-04-01,9.1,55.7,8.7,2025,4,April
209,1018,2025-05-01,6.9,67.9,8.0,2025,5,May
210,1018,2025-06-01,7.2,71.1,5.3,2025,6,June
211,1018,2025-07-01,7.5,77.1,8.1,2025,7,July
212,1018,2025-08-01,4.6,45.7,3.7,2025,8,August
213,1018,2025-09-01,6.9,93.9,7.0,2025,9,September
214,1018,2025-10-01,3.9,87.7,5.7,2025,10,October
215,1018,2025-11-01,7.7,75.2,8.7,2025,11,November
216,1018,2025-12-01,6.9,98.9,7.5,2025,12,December
217,1019,2025-01-01,6.6,64.8,5.1,2025,1,January
218,1019,2025-02-01,5.7,50.1,6.1,2025,2,February
219,1019,2025-03-01,9.3,74.3,8.7,2025,3,March
220,1019,2025-04-01,8.1,100.0,6.8,2025,4,April
221,1019,2025-05-01,6.1,56.1,5.3,2025,5,May
222,1019,2025-06-01,7.0,80.2,7.9,2025,6,June
223,1019,2025-07-01,6.2,76.3,5.2,2025,7,July
224,1019,2025-08-01,8.4,83.1,9.0,2025,8,August
225,1019,2025-09-01,9.4,71.2,8.3,2025,9,September
226,1019,2025-10-01,7.4,79.5,8.4,2025,10,October
227,1019,2025-11-01,6.3,79.2,6.5,2025,11,November
228,1019,2025-12-01,5.6,75.8,5.4,2025,12,December
229,1020,2025-01-01,6.5,84.8,8.0,2025,1,January
230,1020,2025-02-01,8.1,65.2,7.3,2025,2,February
231,1020,2025-03-01,8.0,72.0,7.9,2025,3,March
232,1020,2025-04-01,7.7,86.6,7.8,2025,4,April
233,1020,2025-05-01,6.9,76.1,6.8,2025,5,May
234,1020,2025-06-01,8.7,73.2,9.8,2025,6,June
235,1020,2025-07-01,6.8,63.1,8.0,2025,7,July
236,1020,2025-08-01,7.5,93.6,8.6,2025,8,August
237,1020,2025-09-01,6.8,59.3,6.8,2025,9,September
238,1020,2025-10-01,5.4,78.7,5.0,2025,10,October
239,1020,2025-11-01,5.8,30.0,5.4,2025,11,November
240,1020,2025-12-01,10.0,91.2,8.9,2025,12,December
241,1021,2025-01-01,7.6,80.7,7.2,2025,1,January
242,1021,2025-02-01,7.9,69.7,7.4,2025,2,February
243,1021,2025-03-01,7.0,43.7,8.7,2025,3,March
244,1021,2025-04-01,7.3,57.5,6.8,2025,4,April
245,1021,2025-05-01,6.0,78.3,8.4,2025,5,May
246,1021,2025-06-01,6.7,51.8,6.5,2025,6,June
247,1021,2025-07-01,9.3,92.1,8.6,2025,7,July
248,1021,2025-08-01,8.1,90.1,9.2,2025,8,August
249,1021,2025-09-01,9.4,94.7,9.2,2025,9,September
250,1021,2025-10-01,8.1,73.4,6.7,2025,10,October
251,1021,2025-11-01,6.5,70.7,8.4,2025,11,November
252,1021,2025-12-01,5.9,59.4,8.1,2025,12,December
253,1022,2025-01-01,6.9,74.9,6.5,2025,1,January
254,1022,2025-02-01,7.1,69.9,6.3,2025,2,February
255,1022,2025-03-01,10.0,89.6,10.0,2025,3,March
256,1022,2025-04-01,8.4,63.4,8.1,2025,4,April
257,1022,2025-05-01,5.0,72.1,5.2,2025,5,May
258,1022,2025-06-01,6.6,71.0,6.4,2025,6,June
259,1022,2025-07-01,8.3,81.7,9.0,2025,7,July
260,1022,2025-08-01,5.2,76.2,4.3,2025,8,August
261,1022,2025-09-01,6.9,63.5,5.2,2025,9,September
262,1022,2025-10-01,7.6,60.6,7.8,2025,10,October
263,1022,2025-11-01,7.3,85.2,7.2,2025,11,November
264,1022,2025-12-01,6.9,80.6,6.4,2025,12,December
265,1023,2025-01-01,7.2,82.7,6.2,2025,1,January
266,1023,2025-02-01,5.1,72.1,5.6,2025,2,February
267,1023,2025-03-01,5.2,39.2,6.2,2025,3,March
268,1023,2025-04-01,6.2,64.4,6.6,2025,4,April
269,1023,2025-05-01,6.9,79.6,6.8,2025,5,May
270,1023,2025-06-01,7.1,60.2,6.1,2025,6,June
271,1023,2025-07-01,5.7,61.3,6.0,2025,7,July
272,1023,2025-08-01,7.3,38.9,7.9,2025,8,August
273,1023,2025-09-01,8.5,90.1,8.5,2025,9,September
274,1023,2025-10-01,8.1,66.0,7.4,2025,10,October
275,1023,2025-11-01,7.4,84.4,6.7,2025,11,November
276,1023,2025-12-01,8.4,100.0,8.2,2025,12,December
277,1024,2025-01-01,8.4,56.3,8.1,2025,1,January
278,1024,2025-02-01,9.0,67.5,10.0,2025,2,February
279,1024,2025-03-01,8.7,67.2,7.0,2025,3,March
280,1024,2025-04-01,7.7,89.7,6.6,2025,4,April
281,1024,2025-05-01,7.9,75.2,9.1,2025,5,May
282,1024,2025-06-01,8.8,78.2,8.3,2025,6,June
283,1024,2025-07-01,7.8,67.6,7.2,2025,7,July
284,1024,2025-08-01,5.4,52.0,4.9,2025,8,August
285,1024,2025-09-01,9.4,62.6,10.0,2025,9,September
286,1024,2025-10-01,8.3,84.6,7.9,2025,10,October
287,1024,2025-11-01,6.8,55.5,7.9,2025,11,November
288,1024,2025-12-01,7.2,75.1,5.3,2025,12,December
289,1025,2025-01-01,7.8,82.2,8.4,2025,1,January
290,1025,2025-02-01,7.0,70.8,7.1,2025,2,February
291,1025,2025-03-01,6.4,84.8,6.0,2025,3,March
292,1025,2025-04-01,6.8,73.0,6.6,2025,4,April
293,1025,2025-05-01,6.0,60.5,5.3,2025,5,May
294,1025,2025-06-01,8.8,76.9,8.8,2025,6,June
295,1025,2025-07-01,9.8,69.1,10.0,2025,7,July
296,1025,2025-08-01,9.8,78.6,10.0,2025,8,August
297,1025,2025-09-01,6.4,79.3,5.7,2025,9,September
298,1025,2025-10-01,8.9,98.7,8.9,2025,10,October
299,1025,2025-11-01,6.4,49.1,6.6,2025,11,November
300,1025,2025-12-01,7.4,57.1,8.1,2025,12,December
301,1026,2025-01-01,8.5,92.9,8.2,2025,1,January
302,1026,2025-02-01,8.8,61.0,7.8,2025,2,February
303,1026,2025-03-01,5.4,60.8,4.5,2025,3,March
304,1026,2025-04-01,8.3,58.8,7.4,2025,4,April
305,1026,2025-05-01,5.6,76.2,5.1,2025,5,May
306,1026,2025-06-01,8.1,94.0,8.7,2025,6,June
307,1026,2025-07-01,7.8,60.3,6.9,2025,7,July
308,1026,2025-08-01,7.8,86.8,8.7,2025,8,August
309,1026,2025-09-01,8.1,59.2,9.1,2025,9,September
310,1026,2025-10-01,8.0,81.5,9.5,2025,10,October
311,1026,2025-11-01,7.9,83.7,7.1,2025,11,November
312,1026,2025-12-01,6.8,88.6,5.6,2025,12,December
313,1027,2025-01-01,6.4,83.3,8.6,2025,1,January
314,1027,2025-02-01,7.1,57.6,7.0,2025,2,February
315,1027,2025-03-01,4.3,83.8,5.1,2025,3,March
316,1027,2025-04-01,7.2,48.2,7.5,2025,4,April
317,1027,2025-05-01,7.8,62.7,7.7,2025,5,May
318,1027,2025-06-01,6.0,100.0,6.0,2025,6,June
319,1027,2025-07-01,8.8,62.4,9.9,2025,7,July
320,1027,2025-08-01,7.3,57.4,8.2,2025,8,August
321,1027,2025-09-01,7.5,88.9,6.0,2025,9,September
322,1027,2025-10-01,9.3,96.4,9.4,2025,10,October
323,1027,2025-11-01,8.1,88.6,7.2,2025,11,November
324,1027,2025-12-01,7.8,53.4,8.6,2025,12,December
325,1028,2025-01-01,8.9,66.5,9.5,2025,1,January
326,1028,2025-02-01,6.6,62.7,6.3,2025,2,February
327,1028,2025-03-01,8.4,76.2,9.2,2025,3,March
328,1028,2025-04-01,7.6,78.3,8.3,2025,4,April
329,1028,2025-05-01,8.2,72.7,6.3,2025,5,May
330,1028,2025-06-01,5.1,70.0,4.7,2025,6,June
331,1028,2025-07-01,8.8,50.5,9.3,2025,7,July
332,1028,2025-08-01,8.9,79.4,10.0,2025,8,August
333,1028,2025-09-01,5.1,70.1,5.0,2025,9,September
334,1028,2025-10-01,7.2,62.0,6.9,2025,10,October
335,1028,2025-11-01,7.8,88.9,8.9,2025,11,November
336,1028,2025-12-01,7.1,93.3,8.1,2025,12,December
337,1029,2025-01-01,9.4,78.3,7.6,2025,1,January
338,1029,2025-02-01,7.1,47.2,7.3,2025,2,February
339,1029,2025-03-01,5.2,66.4,6.5,2025,3,March
340,1029,2025-04-01,3.4,69.3,4.2,2025,4,April
341,1029,2025-05-01,5.7,80.5,4.7,2025,5,May
342,1029,2025-06-01,9.4,69.6,9.5,2025,6,June
343,1029,2025-07-01,6.4,84.3,6.3,2025,7,July
344,1029,2025-08-01,6.1,83.4,6.4,2025,8,August
345,1029,2025-09-01,4.3,91.2,3.0,2025,9,September
346,1029,2025-10-01,9.1,79.2,8.8,2025,10,October
347,1029,2025-11-01,7.9,73.6,7.8,2025,11,November
348,1029,2025-12-01,7.1,81.0,7.5,2025,12,December
349,1030,2025-01-01,8.3,83.8,9.3,2025,1,January
350,1030,2025-02-01,3.7,68.6,4.3,2025,2,February
351,1030,2025-03-01,7.7,44.8,7.1,2025,3,March
352,1030,2025-04-01,7.0,93.1,7.8,2025,4,April
353,1030,2025-05-01,6.7,82.7,7.0,2025,5,May
354,1030,2025-06-01,7.8,45.6,8.8,2025,6,June
355,1030,2025-07-01,9.4,78.2,8.3,2025,7,July
356,1030,2025-08-01,6.4,57.7,6.8,2025,8,August
357,1030,2025-09-01,6.9,67.1,7.5,2025,9,September
358,1030,2025-10-01,8.9,81.1,7.2,2025,10,October
359,1030,2025-11-01,8.1,61.7,8.1,2025,11,November
360,1030,2025-12-01,5.9,61.6,5.5,2025,12,December
361,1031,2025-01-01,7.5,71.8,7.4,2025,1,January
362,1031,2025-02-01,6.8,54.8,6.9,2025,2,February
363,1031,2025-03-01,8.0,71.5,7.7,2025,3,March
364,1031,2025-04-01,9.9,81.7,10.0,2025,4,April
365,1031,2025-05-01,7.8,62.7,7.1,2025,5,May
366,1031,2025-06-01,7.1,76.6,7.5,2025,6,June
367,1031,2025-07-01,6.2,65.5,7.0,2025,7,July
368,1031,2025-08-01,9.4,83.9,9.8,2025,8,August
369,1031,2025-09-01,8.6,57.8,8.3,2025,9,September
370,1031,2025-10-01,6.3,82.8,7.7,2025,10,October
371,1031,2025-11-01,8.0,83.1,7.1,2025,11,November
372,1031,2025-12-01,9.7,76.2,10.0,2025,12,December
373,1032,2025-01-01,7.8,100.0,7.1,2025,1,January
374,1032,2025-02-01,6.7,78.5,5.5,2025,2,February
375,1032,2025-03-01,7.7,90.5,6.1,2025,3,March
376,1032,2025-04-01,7.1,55.0,8.1,2025,4,April
377,1032,2025-05-01,7.7,75.4,8.0,2025,5,May
378,1032,2025-06-01,6.3,63.1,7.9,2025,6,June
379,1032,2025-07-01,5.6,63.4,5.5,2025,7,July
380,1032,2025-08-01,7.2,71.1,6.4,2025,8,August
381,1032,2025-09-01,7.2,88.3,9.7,2025,9,September
382,1032,2025-10-01,8.0,63.1,9.0,2025,10,October
383,1032,2025-11-01,7.6,95.9,9.3,2025,11,November
384,1032,2025-12-01,8.2,93.6,7.8,2025,12,December
385,1033,2025-01-01,9.8,45.5,9.6,2025,1,January
386,1033,2025-02-01,4.4,96.0,5.5,2025,2,February
387,1033,2025-03-01,8.7,72.9,9.6,2025,3,March
388,1033,2025-04-01,7.5,66.1,7.6,2025,4,April
389,1033,2025-05-01,7.2,52.9,8.6,2025,5,May
390,1033,2025-06-01,8.7,72.1,7.0,2025,6,June
391,1033,2025-07-01,7.2,65.7,6.9,2025,7,July
392,1033,2025-08-01,6.9,48.9,7.5,2025,8,August
393,1033,2025-09-01,5.7,100.0,6.4,2025,9,September
394,1033,2025-10-01,7.4,73.6,9.7,2025,10,October
395,1033,2025-11-01,10.0,91.6,9.9,2025,11,November
396,1033,2025-12-01,9.8,89.8,10.0,2025,12,December
397,1034,2025-01-01,6.5,45.8,6.5,2025,1,January
398,1034,2025-02-01,8.5,92.1,8.6,2025,2,February
399,1034,2025-03-01,8.3,53.3,8.8,2025,3,March
400,1034,2025-04-01,5.6,73.7,5.4,2025,4,April
401,1034,2025-05-01,6.1,82.8,4.7,2025,5,May
402,1034,2025-06-01,9.3,85.3,9.8,2025,6,June
403,1034,2025-07-01,8.8,50.8,9.7,2025,7,July
404,1034,2025-08-01,6.5,92.1,6.4,2025,8,August
405,1034,2025-09-01,7.2,70.5,6.6,2025,9,September
406,1034,2025-10-01,7.0,92.9,7.5,2025,10,October
407,1034,2025-11-01,7.8,83.6,8.1,2025,11,November
408,1034,2025-12-01,6.1,80.6,5.9,2025,12,December
409,1035,2025-01-01,8.3,60.8,8.5,2025,1,January
410,1035,2025-02-01,7.7,71.4,8.0,2025,2,February
411,1035,2025-03-01,6.1,87.3,6.2,2025,3,March
412,1035,2025-04-01,7.8,76.1,9.5,2025,4,April
413,1035,2025-05-01,9.1,54.7,10.0,2025,5,May
414,1035,2025-06-01,6.6,75.4,6.2,2025,6,June
415,1035,2025-07-01,8.0,82.2,7.7,2025,7,July
416,1035,2025-08-01,7.7,73.5,7.9,2025,8,August
417,1035,2025-09-01,7.0,64.2,7.6,2025,9,September
418,1035,2025-10-01,5.0,72.1,4.7,2025,10,October
419,1035,2025-11-01,8.6,53.3,10.0,2025,11,November
420,1035,2025-12-01,7.0,87.6,8.4,2025,12,December
421,1036,2025-01-01,7.2,80.3,7.1,2025,1,January
422,1036,2025-02-01,6.8,77.3,6.9,2025,2,February
423,1036,2025-03-01,6.9,76.9,6.9,2025,3,March
424,1036,2025-04-01,5.4,52.4,5.8,2025,4,April
425,1036,2025-05-01,8.6,86.2,10.0,2025,5,May
426,1036,2025-06-01,9.9,76.9,10.0,2025,6,June
427,1036,2025-07-01,7.1,100.0,8.4,2025,7,July
428,1036,2025-08-01,7.7,83.9,8.4,2025,8,August
429,1036,2025-09-01,7.4,75.4,5.8,2025,9,September
430,1036,2025-10-01,5.1,75.6,4.5,2025,10,October
431,1036,2025-11-01,8.8,100.0,7.9,2025,11,November
432,1036,2025-12-01,5.2,61.6,4.0,2025,12,December
433,1037,2025-01-01,7.1,59.6,6.4,2025,1,January
434,1037,2025-02-01,8.3,86.5,7.5,2025,2,February
435,1037,2025-03-01,6.3,60.6,6.2,2025,3,March
436,1037,2025-04-01,8.1,59.2,8.4,2025,4,April
437,1037,2025-05-01,9.2,80.3,10.0,2025,5,May
438,1037,2025-06-01,7.3,72.2,8.0,2025,6,June
439,1037,2025-07-01,6.6,63.9,8.5,2025,7,July
440,1037,2025-08-01,6.4,77.6,6.4,2025,8,August
441,1037,2025-09-01,5.9,71.4,5.1,2025,9,September
442,1037,2025-10-01,8.1,91.4,7.6,2025,10,October
443,1037,2025-11-01,7.9,82.4,8.5,2025,11,November
444,1037,2025-12-01,7.8,92.7,9.1,2025,12,December
445,1038,2025-01-01,8.8,75.4,7.9,2025,1,January
446,1038,2025-02-01,8.8,89.2,7.4,2025,2,February
447,1038,2025-03-01,7.0,89.8,6.5,2025,3,March
