Attendance_ID,Employee_ID,Date,Status,Working_Hours,Overtime_Hours,Year,Month,Month_Name,Day_Name,Day_Type
41,1001,2025-04-09,WFH,8.9,1.6,2025,4,April,Wednesday,Weekday
42,1001,2025-09-26,Present,9.0,1.3,2025,9,September,Friday,Weekday
43,1001,2025-12-05,Present,9.3,2.7,2025,12,December,Friday,Weekday
44,1001,2025-07-30,Present,8.9,0.0,2025,7,July,Wednesday,Weekday
45,1001,2025-09-01,Present,9.2,0.3,2025,9,September,Monday,Weekday
46,1001,2025-07-10,Absent,0.0,0.0,2025,7,July,Thursday,Weekday
47,1001,2025-02-07,Absent,0.0,0.0,2025,2,February,Friday,Weekday
48,1001,2025-09-29,Present,7.9,1.4,2025,9,September,Monday,Weekday
49,1001,2025-10-17,Present,7.6,1.4,2025,10,October,Friday,Weekday
50,1001,2025-07-01,Present,9.1,0.5,2025,7,July,Tuesday,Weekday
51,1001,2025-08-07,Present,8.3,1.1,2025,8,August,Thursday,Weekday
52,1001,2025-12-19,Present,8.2,1.0,2025,12,December,Friday,Weekday
53,1001,2025-10-10,Present,7.0,0.4,2025,10,October,Friday,Weekday
54,1001,2025-01-07,Present,8.8,0.0,2025,1,January,Tuesday,Weekday
55,1001,2025-01-15,Present,8.2,2.4,2025,1,January,Wednesday,Weekday
56,1001,2025-03-14,Leave,0.0,0.0,2025,3,March,Friday,Weekday
57,1001,2025-01-16,Present,9.0,0.3,2025,1,January,Thursday,Weekday
58,1001,2025-05-07,Present,8.4,0.0,2025,5,May,Wednesday,Weekday
59,1001,2025-07-29,Present,9.2,0.0,2025,7,July,Tuesday,Weekday
60,1001,2025-03-25,Present,8.6,0.0,2025,3,March,Tuesday,Weekday
61,1001,2025-01-10,Present,7.8,1.0,2025,1,January,Friday,Weekday
62,1001,2025-04-02,Present,7.6,0.0,2025,4,April,Wednesday,Weekday
63,1001,2025-11-18,Present,8.4,0.0,2025,11,November,Tuesday,Weekday
64,1001,2025-05-30,WFH,8.0,1.3,2025,5,May,Friday,Weekday
65,1001,2025-12-03,Present,8.0,1.2,2025,12,December,Wednesday,Weekday
66,1001,2025-09-15,Present,7.5,1.3,2025,9,September,Monday,Weekday
67,1001,2025-06-10,Present,7.1,0.0,2025,6,June,Tuesday,Weekday
68,1001,2025-03-19,WFH,8.7,1.6,2025,3,March,Wednesday,Weekday
69,1001,2025-01-09,Present,9.5,0.8,2025,1,January,Thursday,Weekday
70,1001,2025-10-01,Present,7.3,1.5,2025,10,October,Wednesday,Weekday
71,1001,2025-08-21,Present,9.4,1.9,2025,8,August,Thursday,Weekday
72,1001,2025-01-02,Present,8.5,1.2,2025,1,January,Thursday,Weekday
73,1001,2025-10-22,Present,9.2,1.7,2025,10,October,Wednesday,Weekday
74,1001,2025-03-03,Present,8.8,1.1,2025,3,March,Monday,Weekday
75,1001,2025-06-17,Present,8.9,1.4,2025,6,June,Tuesday,Weekday
76,1001,2025-01-28,Present,9.2,0.5,2025,1,January,Tuesday,Weekday
77,1001,2025-04-14,Present,8.3,0.5,2025,4,April,Monday,Weekday
78,1001,2025-12-17,Present,9.1,0.4,2025,12,December,Wednesday,Weekday
79,1001,2025-08-11,Present,8.0,0.0,2025,8,August,Monday,Weekday
80,1001,2025-01-27,Present,7.0,0.0,2025,1,January,Monday,Weekday
81,1001,2025-12-22,Present,8.2,0.1,2025,12,December,Monday,Weekday
82,1001,2025-08-26,Present,8.9,1.0,2025,8,August,Tuesday,Weekday
83,1001,2025-01-17,WFH,8.1,2.0,2025,1,January,Friday,Weekday
84,1001,2025-05-08,Present,9.5,0.7,2025,5,May,Thursday,Weekday
85,1001,2025-04-22,Present,8.8,0.2,2025,4,April,Tuesday,Weekday
86,1001,2025-11-12,Present,8.8,0.0,2025,11,November,Wednesday,Weekday
87,1001,2025-10-20,Present,7.9,0.0,2025,10,October,Monday,Weekday
88,1001,2025-09-23,WFH,7.9,1.1,2025,9,September,Tuesday,Weekday
89,1001,2025-05-09,Present,8.6,1.1,2025,5,May,Friday,Weekday
90,1001,2025-11-11,Present,7.3,0.9,2025,11,November,Tuesday,Weekday
91,1001,2025-06-23,Present,8.4,0.2,2025,6,June,Monday,Weekday
92,1001,2025-07-02,Present,7.9,1.9,2025,7,July,Wednesday,Weekday
93,1001,2025-05-29,Present,7.5,1.6,2025,5,May,Thursday,Weekday
94,1001,2025-02-10,Present,8.0,0.0,2025,2,February,Monday,Weekday
95,1001,2025-08-15,Present,7.4,2.1,2025,8,August,Friday,Weekday
96,1001,2025-12-15,Present,8.5,2.3,2025,12,December,Monday,Weekday
97,1001,2025-10-31,Leave,0.0,0.0,2025,10,October,Friday,Weekday
98,1001,2025-09-25,Present,8.9,0.4,2025,9,September,Thursday,Weekday
99,1001,2025-10-29,Present,8.0,0.0,2025,10,October,Wednesday,Weekday
100,1001,2025-01-20,Present,7.5,2.3,2025,1,January,Monday,Weekday
101,1001,2025-02-14,Present,9.2,1.2,2025,2,February,Friday,Weekday
102,1001,2025-09-09,Present,8.4,1.5,2025,9,September,Tuesday,Weekday
103,1001,2025-04-18,Present,7.3,0.0,2025,4,April,Friday,Weekday
104,1001,2025-07-17,WFH,8.1,0.0,2025,7,July,Thursday,Weekday
105,1001,2025-02-18,Present,8.3,2.1,2025,2,February,Tuesday,Weekday
106,1001,2025-02-28,Present,8.3,1.5,2025,2,February,Friday,Weekday
107,1001,2025-04-25,Absent,0.0,0.0,2025,4,April,Friday,Weekday
108,1001,2025-01-24,Present,7.7,1.8,2025,1,January,Friday,Weekday
109,1001,2025-11-27,Present,8.9,1.3,2025,11,November,Thursday,Weekday
110,1001,2025-07-15,Absent,0.0,0.0,2025,7,July,Tuesday,Weekday
111,1001,2025-08-13,Present,9.5,1.5,2025,8,August,Wednesday,Weekday
112,1001,2025-05-20,Present,7.4,1.5,2025,5,May,Tuesday,Weekday
113,1001,2025-09-11,Present,8.2,0.2,2025,9,September,Thursday,Weekday
114,1001,2025-05-06,Leave,0.0,0.0,2025,5,May,Tuesday,Weekday
115,1001,2025-10-30,Absent,0.0,0.0,2025,10,October,Thursday,Weekday
116,1001,2025-12-08,Present,9.1,0.0,2025,12,December,Monday,Weekday
117,1001,2025-07-25,Absent,0.0,0.0,2025,7,July,Friday,Weekday
118,1001,2025-03-31,Present,7.5,2.5,2025,3,March,Monday,Weekday
119,1001,2025-03-18,Present,8.7,0.9,2025,3,March,Tuesday,Weekday
120,1001,2025-10-21,Present,8.9,1.4,2025,10,October,Tuesday,Weekday
121,1001,2025-08-27,WFH,9.1,1.7,2025,8,August,Wednesday,Weekday
122,1001,2025-09-02,Leave,0.0,0.0,2025,9,September,Tuesday,Weekday
123,1001,2025-09-17,WFH,9.0,3.2,2025,9,September,Wednesday,Weekday
124,1001,2025-03-10,Present,7.8,0.0,2025,3,March,Monday,Weekday
125,1001,2025-03-28,WFH,9.2,0.5,2025,3,March,Friday,Weekday
126,1001,2025-07-07,Present,7.2,1.9,2025,7,July,Monday,Weekday
127,1001,2025-11-10,Present,7.0,0.0,2025,11,November,Monday,Weekday
128,1001,2025-06-12,Present,8.3,1.9,2025,6,June,Thursday,Weekday
129,1001,2025-03-13,Present,9.3,0.0,2025,3,March,Thursday,Weekday
130,1001,2025-12-16,Present,7.2,0.0,2025,12,December,Tuesday,Weekday
131,1001,2025-01-08,Present,8.8,0.0,2025,1,January,Wednesday,Weekday
132,1001,2025-10-08,Present,8.4,1.2,2025,10,October,Wednesday,Weekday
133,1001,2025-04-11,Leave,0.0,0.0,2025,4,April,Friday,Weekday
134,1001,2025-07-22,Present,7.9,2.3,2025,7,July,Tuesday,Weekday
135,1001,2025-12-29,Present,8.1,2.2,2025,12,December,Monday,Weekday
136,1001,2025-08-29,Present,9.2,1.5,2025,8,August,Friday,Weekday
137,1001,2025-11-24,Present,9.4,0.7,2025,11,November,Monday,Weekday
138,1001,2025-01-01,Absent,0.0,0.0,2025,1,January,Wednesday,Weekday
139,1001,2025-07-31,Present,9.2,0.3,2025,7,July,Thursday,Weekday
140,1001,2025-05-14,Present,9.4,1.0,2025,5,May,Wednesday,Weekday
141,1001,2025-11-21,Present,8.4,1.6,2025,11,November,Friday,Weekday
142,1001,2025-05-26,Present,7.5,1.4,2025,5,May,Monday,Weekday
143,1001,2025-05-02,Present,8.4,1.4,2025,5,May,Friday,Weekday
144,1001,2025-06-26,Present,8.7,0.7,2025,6,June,Thursday,Weekday
145,1001,2025-04-23,Present,7.4,0.0,2025,4,April,Wednesday,Weekday
146,1001,2025-02-19,Present,9.3,0.0,2025,2,February,Wednesday,Weekday
147,1001,2025-03-12,Present,9.4,1.0,2025,3,March,Wednesday,Weekday
148,1001,2025-04-01,Absent,0.0,0.0,2025,4,April,Tuesday,Weekday
149,1001,2025-05-22,Present,7.2,1.8,2025,5,May,Thursday,Weekday
150,1001,2025-10-27,Present,7.2,2.4,2025,10,October,Monday,Weekday
151,1001,2025-11-19,Present,7.6,1.6,2025,11,November,Wednesday,Weekday
152,1001,2025-08-28,Leave,0.0,0.0,2025,8,August,Thursday,Weekday
153,1001,2025-08-01,Present,7.6,1.6,2025,8,August,Friday,Weekday
154,1001,2025-11-14,Present,9.4,2.4,2025,11,November,Friday,Weekday
155,1001,2025-03-07,Present,7.9,1.0,2025,3,March,Friday,Weekday
156,1001,2025-11-25,Present,7.5,1.0,2025,11,November,Tuesday,Weekday
157,1001,2025-01-23,Present,8.7,2.4,2025,1,January,Thursday,Weekday
158,1001,2025-01-14,WFH,8.9,2.2,2025,1,January,Tuesday,Weekday
159,1001,2025-07-14,Present,7.9,0.0,2025,7,July,Monday,Weekday
160,1001,2025-01-13,Present,9.2,0.0,2025,1,January,Monday,Weekday
161,1001,2025-02-13,Present,8.4,0.4,2025,2,February,Thursday,Weekday
162,1001,2025-02-12,Present,8.2,2.2,2025,2,February,Wednesday,Weekday
163,1001,2025-03-24,Present,9.4,0.7,2025,3,March,Monday,Weekday
164,1001,2025-10-02,Present,9.5,0.0,2025,10,October,Thursday,Weekday
165,1001,2025-12-23,Present,7.3,1.3,2025,12,December,Tuesday,Weekday
166,1001,2025-10-09,Present,7.1,0.0,2025,10,October,Thursday,Weekday
167,1001,2025-01-30,Absent,0.0,0.0,2025,1,January,Thursday,Weekday
168,1001,2025-01-22,Present,7.9,1.7,2025,1,January,Wednesday,Weekday
169,1001,2025-02-24,Present,8.2,2.3,2025,2,February,Monday,Weekday
170,1001,2025-06-13,Absent,0.0,0.0,2025,6,June,Friday,Weekday
171,1001,2025-09-18,Present,7.8,0.6,2025,9,September,Thursday,Weekday
172,1001,2025-06-20,WFH,8.0,1.8,2025,6,June,Friday,Weekday
173,1001,2025-06-25,Present,7.7,0.0,2025,6,June,Wednesday,Weekday
174,1001,2025-08-05,Present,8.4,0.3,2025,8,August,Tuesday,Weekday
175,1001,2025-12-02,WFH,8.7,1.0,2025,12,December,Tuesday,Weekday
176,1001,2025-02-04,Present,9.4,0.0,2025,2,February,Tuesday,Weekday
177,1001,2025-10-07,Present,8.3,2.9,2025,10,October,Tuesday,Weekday
178,1001,2025-02-11,Present,8.7,0.4,2025,2,February,Tuesday,Weekday
179,1001,2025-03-11,Present,7.3,0.5,2025,3,March,Tuesday,Weekday
180,1001,2025-03-21,Present,8.0,1.0,2025,3,March,Friday,Weekday
181,1001,2025-05-01,Present,9.3,2.5,2025,5,May,Thursday,Weekday
182,1001,2025-07-16,Present,9.2,0.9,2025,7,July,Wednesday,Weekday
183,1001,2025-10-14,Present,9.4,0.9,2025,10,October,Tuesday,Weekday
184,1001,2025-11-06,Present,7.3,1.0,2025,11,November,Thursday,Weekday
185,1001,2025-02-21,Leave,0.0,0.0,2025,2,February,Friday,Weekday
186,1001,2025-04-16,Present,9.1,0.0,2025,4,April,Wednesday,Weekday
187,1001,2025-03-06,Leave,0.0,0.0,2025,3,March,Thursday,Weekday
188,1001,2025-04-30,Present,8.4,0.5,2025,4,April,Wednesday,Weekday
189,1001,2025-09-08,Present,7.9,0.1,2025,9,September,Monday,Weekday
190,1001,2025-06-27,WFH,9.2,1.6,2025,6,June,Friday,Weekday
191,1001,2025-01-03,Present,8.8,0.0,2025,1,January,Friday,Weekday
192,1001,2025-03-26,WFH,7.1,1.6,2025,3,March,Wednesday,Weekday
193,1001,2025-04-29,Present,8.3,3.3,2025,4,April,Tuesday,Weekday
194,1001,2025-08-20,Present,8.6,1.4,2025,8,August,Wednesday,Weekday
195,1001,2025-12-01,Present,7.1,0.0,2025,12,December,Monday,Weekday
196,1001,2025-07-08,Present,8.4,0.2,2025,7,July,Tuesday,Weekday
197,1001,2025-08-22,Present,7.7,0.9,2025,8,August,Friday,Weekday
198,1001,2025-07-11,WFH,9.0,1.4,2025,7,July,Friday,Weekday
199,1001,2025-10-13,Present,7.0,1.5,2025,10,October,Monday,Weekday
200,1001,2025-05-21,Present,8.9,1.8,2025,5,May,Wednesday,Weekday
201,1001,2025-04-08,Present,8.8,0.6,2025,4,April,Tuesday,Weekday
202,1001,2025-03-17,Present,8.2,1.4,2025,3,March,Monday,Weekday
203,1001,2025-12-30,Present,8.9,0.9,2025,12,December,Tuesday,Weekday
204,1001,2025-03-20,Present,8.7,0.4,2025,3,March,Thursday,Weekday
205,1001,2025-08-25,Present,8.9,1.1,2025,8,August,Monday,Weekday
206,1001,2025-03-27,Present,9.1,0.0,2025,3,March,Thursday,Weekday
207,1001,2025-10-24,WFH,9.5,1.4,2025,10,October,Friday,Weekday
208,1001,2025-05-13,Present,7.8,1.6,2025,5,May,Tuesday,Weekday
209,1001,2025-04-07,Present,8.9,1.0,2025,4,April,Monday,Weekday
210,1001,2025-12-10,Present,7.5,1.3,2025,12,December,Wednesday,Weekday
211,1002,2025-09-22,Present,7.3,0.0,2025,9,September,Monday,Weekday
212,1002,2025-01-13,Present,8.6,0.0,2025,1,January,Monday,Weekday
213,1002,2025-12-12,Present,8.0,0.4,2025,12,December,Friday,Weekday
214,1002,2025-08-13,Absent,0.0,0.0,2025,8,August,Wednesday,Weekday
215,1002,2025-10-29,Present,8.0,0.5,2025,10,October,Wednesday,Weekday
216,1002,2025-06-20,Present,9.2,0.0,2025,6,June,Friday,Weekday
217,1002,2025-11-17,Present,8.8,1.1,2025,11,November,Monday,Weekday
218,1002,2025-07-29,WFH,7.6,1.0,2025,7,July,Tuesday,Weekday
219,1002,2025-01-22,Present,8.0,1.5,2025,1,January,Wednesday,Weekday
220,1002,2025-12-09,Present,8.3,0.1,2025,12,December,Tuesday,Weekday
221,1002,2025-10-10,Present,9.1,2.6,2025,10,October,Friday,Weekday
222,1002,2025-04-22,Present,9.1,2.0,2025,4,April,Tuesday,Weekday
223,1002,2025-10-15,Present,7.9,0.9,2025,10,October,Wednesday,Weekday
224,1002,2025-10-28,Leave,0.0,0.0,2025,10,October,Tuesday,Weekday
225,1002,2025-01-03,Present,9.1,3.2,2025,1,January,Friday,Weekday
226,1002,2025-02-14,Present,8.4,0.0,2025,2,February,Friday,Weekday
227,1002,2025-01-27,Present,7.1,2.3,2025,1,January,Monday,Weekday
228,1002,2025-05-16,Present,8.7,0.1,2025,5,May,Friday,Weekday
229,1002,2025-11-26,Absent,0.0,0.0,2025,11,November,Wednesday,Weekday
230,1002,2025-01-16,WFH,8.0,0.1,2025,1,January,Thursday,Weekday
231,1002,2025-01-09,WFH,7.1,1.7,2025,1,January,Thursday,Weekday
232,1002,2025-08-01,Present,8.6,0.1,2025,8,August,Friday,Weekday
233,1002,2025-02-03,WFH,7.5,1.2,2025,2,February,Monday,Weekday
234,1002,2025-03-11,Present,7.6,1.3,2025,3,March,Tuesday,Weekday
235,1002,2025-12-17,Present,7.4,0.0,2025,12,December,Wednesday,Weekday
236,1002,2025-03-20,Present,8.0,1.2,2025,3,March,Thursday,Weekday
237,1002,2025-01-06,Present,8.0,1.1,2025,1,January,Monday,Weekday
238,1002,2025-02-10,Present,7.0,1.8,2025,2,February,Monday,Weekday
239,1002,2025-07-01,Present,7.6,2.5,2025,7,July,Tuesday,Weekday
240,1002,2025-05-20,Present,9.1,1.3,2025,5,May,Tuesday,Weekday
241,1002,2025-10-17,WFH,8.0,0.4,2025,10,October,Friday,Weekday
242,1002,2025-04-09,Present,7.1,0.0,2025,4,April,Wednesday,Weekday
243,1002,2025-01-28,Present,8.5,2.1,2025,1,January,Tuesday,Weekday
244,1002,2025-02-19,Present,9.0,0.7,2025,2,February,Wednesday,Weekday
245,1002,2025-02-26,Present,8.0,0.8,2025,2,February,Wednesday,Weekday
246,1002,2025-11-28,WFH,8.4,1.8,2025,11,November,Friday,Weekday
247,1002,2025-10-14,Present,9.3,0.0,2025,10,October,Tuesday,Weekday
248,1002,2025-09-11,Present,8.4,0.7,2025,9,September,Thursday,Weekday
249,1002,2025-06-27,Absent,0.0,0.0,2025,6,June,Friday,Weekday
250,1002,2025-05-28,Absent,0.0,0.0,2025,5,May,Wednesday,Weekday
251,1002,2025-10-31,Present,7.6,0.2,2025,10,October,Friday,Weekday
252,1002,2025-06-17,Absent,0.0,0.0,2025,6,June,Tuesday,Weekday
253,1002,2025-04-23,WFH,7.2,0.0,2025,4,April,Wednesday,Weekday
254,1002,2025-04-24,Leave,0.0,0.0,2025,4,April,Thursday,Weekday
255,1002,2025-05-21,Present,7.5,0.2,2025,5,May,Wednesday,Weekday
256,1002,2025-12-23,Present,7.1,0.0,2025,12,December,Tuesday,Weekday
257,1002,2025-11-06,Present,8.0,0.4,2025,11,November,Thursday,Weekday
258,1002,2025-06-25,Present,7.4,2.1,2025,6,June,Wednesday,Weekday
259,1002,2025-04-14,Present,7.4,1.1,2025,4,April,Monday,Weekday
260,1002,2025-04-18,Present,7.7,0.0,2025,4,April,Friday,Weekday
261,1002,2025-07-22,Present,7.1,0.0,2025,7,July,Tuesday,Weekday
262,1002,2025-02-18,Present,8.0,0.0,2025,2,February,Tuesday,Weekday
263,1002,2025-11-12,Present,7.6,1.4,2025,11,November,Wednesday,Weekday
264,1002,2025-03-04,Leave,0.0,0.0,2025,3,March,Tuesday,Weekday
265,1002,2025-01-20,Leave,0.0,0.0,2025,1,January,Monday,Weekday
266,1002,2025-10-02,Present,7.6,0.0,2025,10,October,Thursday,Weekday
267,1002,2025-09-23,Present,9.1,0.3,2025,9,September,Tuesday,Weekday
268,1002,2025-10-30,Present,9.1,0.0,2025,10,October,Thursday,Weekday
269,1002,2025-08-07,Present,7.9,0.5,2025,8,August,Thursday,Weekday
270,1002,2025-10-22,Present,7.7,1.7,2025,10,October,Wednesday,Weekday
271,1002,2025-08-14,Leave,0.0,0.0,2025,8,August,Thursday,Weekday
272,1002,2025-09-30,Present,8.2,2.6,2025,9,September,Tuesday,Weekday
273,1002,2025-05-12,Present,8.0,0.0,2025,5,May,Monday,Weekday
274,1002,2025-12-02,Present,9.1,0.0,2025,12,December,Tuesday,Weekday
275,1002,2025-08-08,Present,9.3,1.7,2025,8,August,Friday,Weekday
276,1002,2025-03-27,Present,8.9,1.3,2025,3,March,Thursday,Weekday
277,1002,2025-01-10,Present,9.0,1.5,2025,1,January,Friday,Weekday
278,1002,2025-07-23,Present,9.2,0.1,2025,7,July,Wednesday,Weekday
279,1002,2025-07-08,Present,7.3,0.3,2025,7,July,Tuesday,Weekday
280,1002,2025-07-16,Present,8.5,1.7,2025,7,July,Wednesday,Weekday
281,1002,2025-02-27,Present,8.7,0.0,2025,2,February,Thursday,Weekday
282,1002,2025-12-11,Present,8.9,2.6,2025,12,December,Thursday,Weekday
283,1002,2025-10-03,Present,8.7,1.4,2025,10,October,Friday,Weekday
284,1002,2025-07-11,Present,7.5,0.0,2025,7,July,Friday,Weekday
285,1002,2025-04-21,Present,7.3,1.9,2025,4,April,Monday,Weekday
286,1002,2025-06-24,Present,8.8,1.1,2025,6,June,Tuesday,Weekday
287,1002,2025-01-30,Present,8.2,0.6,2025,1,January,Thursday,Weekday
288,1002,2025-12-18,Present,7.0,1.3,2025,12,December,Thursday,Weekday
289,1002,2025-01-01,Present,7.6,0.9,2025,1,January,Wednesday,Weekday
290,1002,2025-05-14,Present,8.4,0.5,2025,5,May,Wednesday,Weekday
291,1002,2025-08-11,Present,7.7,1.0,2025,8,August,Monday,Weekday
292,1002,2025-10-13,Present,9.2,0.9,2025,10,October,Monday,Weekday
293,1002,2025-09-09,Present,8.4,0.0,2025,9,September,Tuesday,Weekday
294,1002,2025-09-18,Present,8.5,0.8,2025,9,September,Thursday,Weekday
295,1002,2025-12-24,Present,9.3,0.0,2025,12,December,Wednesday,Weekday
296,1002,2025-10-20,Present,7.7,0.5,2025,10,October,Monday,Weekday
297,1002,2025-12-25,Present,8.7,0.9,2025,12,December,Thursday,Weekday
298,1002,2025-12-08,Present,8.7,1.0,2025,12,December,Monday,Weekday
299,1002,2025-06-12,WFH,7.7,1.5,2025,6,June,Thursday,Weekday
300,1002,2025-11-11,Present,8.5,0.0,2025,11,November,Tuesday,Weekday
301,1002,2025-11-20,Present,8.8,2.0,2025,11,November,Thursday,Weekday
302,1002,2025-09-12,Present,7.9,0.0,2025,9,September,Friday,Weekday
303,1002,2025-04-17,Present,7.2,0.0,2025,4,April,Thursday,Weekday
304,1002,2025-05-06,Present,8.8,1.1,2025,5,May,Tuesday,Weekday
305,1002,2025-02-24,Present,7.3,0.0,2025,2,February,Monday,Weekday
306,1002,2025-09-16,Present,8.4,0.0,2025,9,September,Tuesday,Weekday
307,1002,2025-05-08,Leave,0.0,0.0,2025,5,May,Thursday,Weekday
308,1002,2025-01-15,WFH,8.4,0.0,2025,1,January,Wednesday,Weekday
309,1002,2025-02-11,Present,7.9,0.8,2025,2,February,Tuesday,Weekday
310,1002,2025-03-12,Present,8.0,0.5,2025,3,March,Wednesday,Weekday
311,1002,2025-03-25,Present,7.2,0.6,2025,3,March,Tuesday,Weekday
312,1002,2025-04-01,Present,9.5,2.2,2025,4,April,Tuesday,Weekday
313,1002,2025-01-02,Leave,0.0,0.0,2025,1,January,Thursday,Weekday
314,1002,2025-06-23,WFH,8.5,0.0,2025,6,June,Monday,Weekday
315,1002,2025-09-03,Absent,0.0,0.0,2025,9,September,Wednesday,Weekday
316,1002,2025-04-07,Present,7.8,2.5,2025,4,April,Monday,Weekday
317,1002,2025-05-09,Present,7.8,0.0,2025,5,May,Friday,Weekday
318,1002,2025-12-15,Present,8.6,1.0,2025,12,December,Monday,Weekday
319,1002,2025-03-24,Present,8.8,0.0,2025,3,March,Monday,Weekday
320,1002,2025-12-19,Present,9.2,2.6,2025,12,December,Friday,Weekday
321,1002,2025-11-03,Present,7.5,0.8,2025,11,November,Monday,Weekday
322,1002,2025-03-18,Present,7.7,2.9,2025,3,March,Tuesday,Weekday
323,1002,2025-03-14,Leave,0.0,0.0,2025,3,March,Friday,Weekday
324,1002,2025-06-02,Present,7.3,0.0,2025,6,June,Monday,Weekday
325,1002,2025-08-25,WFH,7.3,3.4,2025,8,August,Monday,Weekday
326,1002,2025-06-26,Present,7.2,0.2,2025,6,June,Thursday,Weekday
327,1002,2025-03-26,Present,7.3,2.0,2025,3,March,Wednesday,Weekday
328,1002,2025-04-15,Present,8.6,3.1,2025,4,April,Tuesday,Weekday
329,1002,2025-04-10,Absent,0.0,0.0,2025,4,April,Thursday,Weekday
330,1002,2025-07-09,Present,8.2,0.0,2025,7,July,Wednesday,Weekday
331,1002,2025-10-21,Present,8.5,1.6,2025,10,October,Tuesday,Weekday
332,1002,2025-08-04,Leave,0.0,0.0,2025,8,August,Monday,Weekday
333,1002,2025-08-28,Absent,0.0,0.0,2025,8,August,Thursday,Weekday
334,1002,2025-09-26,Present,8.8,2.2,2025,9,September,Friday,Weekday
335,1002,2025-10-01,Present,7.5,0.0,2025,10,October,Wednesday,Weekday
336,1002,2025-12-29,Present,8.4,1.5,2025,12,December,Monday,Weekday
337,1002,2025-03-31,Present,7.8,0.6,2025,3,March,Monday,Weekday
338,1002,2025-01-31,Present,8.9,0.0,2025,1,January,Friday,Weekday
339,1002,2025-08-29,Present,8.0,2.0,2025,8,August,Friday,Weekday
340,1002,2025-01-24,Present,8.1,1.5,2025,1,January,Friday,Weekday
341,1002,2025-05-07,Present,7.3,0.7,2025,5,May,Wednesday,Weekday
342,1002,2025-03-06,Present,9.4,0.2,2025,3,March,Thursday,Weekday
343,1002,2025-05-30,Present,8.3,0.6,2025,5,May,Friday,Weekday
344,1002,2025-11-14,Present,8.6,0.0,2025,11,November,Friday,Weekday
345,1002,2025-05-29,Present,9.2,0.0,2025,5,May,Thursday,Weekday
