Leave_ID,Employee_ID,Leave_Date,Leave_Type,Leave_Days,Approval_Status,Leave_Year,Leave_Month,Leave_Month_Name
175,1332,2025-06-02,Sick Leave,1,Approved,2025,6,June
176,1275,2025-03-15,Emergency Leave,1,Pending,2025,3,March
177,1063,2025-12-12,Earned Leave,1,Pending,2025,12,December
178,1160,2025-08-28,Emergency Leave,1,Approved,2025,8,August
179,1207,2025-09-04,Emergency Leave,1,Approved,2025,9,September
180,1280,2025-09-02,Casual Leave,1,Approved,2025,9,September
181,1442,2025-02-14,Emergency Leave,2,Approved,2025,2,February
182,1174,2025-06-14,Earned Leave,1,Approved,2025,6,June
183,1342,2025-05-20,Casual Leave,1,Rejected,2025,5,May
184,1057,2025-04-14,Casual Leave,2,Approved,2025,4,April
185,1424,2025-07-08,Earned Leave,2,Approved,2025,7,July
186,1341,2025-12-29,Earned Leave,2,Rejected,2025,12,December
187,1346,2025-10-20,Emergency Leave,1,Approved,2025,10,October
188,1289,2025-12-12,Sick Leave,1,Approved,2025,12,December
189,1336,2025-02-09,Sick Leave,1,Approved,2025,2,February
190,1389,2025-08-29,Earned Leave,1,Approved,2025,8,August
191,1175,2025-08-21,Earned Leave,1,Approved,2025,8,August
192,1247,2025-04-28,Earned Leave,2,Pending,2025,4,April
193,1373,2025-06-06,Earned Leave,1,Approved,2025,6,June
194,1207,2025-07-20,Earned Leave,2,Rejected,2025,7,July
195,1352,2025-10-08,Casual Leave,1,Approved,2025,10,October
196,1184,2025-03-18,Casual Leave,2,Approved,2025,3,March
197,1216,2025-09-27,Earned Leave,2,Approved,2025,9,September
198,1112,2025-01-10,Sick Leave,1,Approved,2025,1,January
199,1300,2025-03-16,Earned Leave,1,Rejected,2025,3,March
200,1160,2025-07-30,Sick Leave,1,Approved,2025,7,July
201,1186,2025-11-14,Emergency Leave,2,Approved,2025,11,November
202,1081,2025-01-25,Casual Leave,1,Approved,2025,1,January
203,1019,2025-03-03,Sick Leave,1,Approved,2025,3,March
204,1010,2025-08-27,Earned Leave,1,Approved,2025,8,August
205,1247,2025-02-09,Earned Leave,2,Pending,2025,2,February
206,1388,2025-01-25,Sick Leave,1,Pending,2025,1,January
207,1108,2025-01-19,Earned Leave,1,Approved,2025,1,January
208,1298,2025-10-09,Emergency Leave,1,Approved,2025,10,October
209,1454,2025-03-22,Sick Leave,1,Approved,2025,3,March
210,1104,2025-04-02,Casual Leave,1,Approved,2025,4,April
211,1095,2025-05-20,Emergency Leave,1,Approved,2025,5,May
212,1421,2025-05-27,Sick Leave,1,Approved,2025,5,May
213,1274,2025-06-05,Sick Leave,1,Approved,2025,6,June
214,1028,2025-07-11,Sick Leave,1,Approved,2025,7,July
215,1171,2025-09-03,Earned Leave,1,Approved,2025,9,September
216,1137,2025-04-05,Casual Leave,2,Rejected,2025,4,April
217,1227,2025-12-15,Emergency Leave,1,Approved,2025,12,December
218,1007,2025-09-16,Sick Leave,1,Approved,2025,9,September
219,1278,2025-04-06,Earned Leave,1,Approved,2025,4,April
220,1293,2025-12-27,Earned Leave,1,Approved,2025,12,December
221,1088,2025-03-17,Casual Leave,3,Approved,2025,3,March
222,1047,2025-09-14,Casual Leave,1,Pending,2025,9,September
223,1235,2025-12-03,Earned Leave,1,Pending,2025,12,December
224,1267,2025-09-13,Casual Leave,1,Approved,2025,9,September
225,1099,2025-01-26,Earned Leave,1,Approved,2025,1,January
226,1282,2025-09-01,Emergency Leave,1,Approved,2025,9,September
227,1160,2025-04-01,Earned Leave,1,Approved,2025,4,April
228,1405,2025-04-01,Emergency Leave,1,Approved,2025,4,April
229,1447,2025-07-02,Earned Leave,3,Pending,2025,7,July
230,1425,2025-01-18,Casual Leave,3,Approved,2025,1,January
231,1022,2025-12-24,Casual Leave,1,Approved,2025,12,December
232,1088,2025-08-05,Earned Leave,1,Approved,2025,8,August
233,1139,2025-10-02,Earned Leave,1,Approved,2025,10,October
234,1195,2025-01-31,Earned Leave,1,Approved,2025,1,January
235,1487,2025-06-30,Emergency Leave,3,Approved,2025,6,June
236,1121,2025-10-18,Casual Leave,2,Approved,2025,10,October
237,1089,2025-01-05,Casual Leave,1,Approved,2025,1,January
238,1318,2025-03-05,Emergency Leave,1,Pending,2025,3,March
239,1166,2025-01-11,Sick Leave,1,Approved,2025,1,January
240,1230,2025-04-23,Casual Leave,1,Approved,2025,4,April
241,1010,2025-03-04,Casual Leave,2,Rejected,2025,3,March
242,1439,2025-02-17,Emergency Leave,1,Pending,2025,2,February
243,1173,2025-11-27,Earned Leave,1,Pending,2025,11,November
244,1232,2025-09-13,Casual Leave,1,Approved,2025,9,September
245,1222,2025-06-29,Emergency Leave,1,Rejected,2025,6,June
246,1198,2025-08-12,Sick Leave,2,Approved,2025,8,August
247,1424,2025-02-07,Emergency Leave,2,Pending,2025,2,February
248,1186,2025-11-22,Earned Leave,1,Rejected,2025,11,November
249,1141,2025-05-25,Emergency Leave,1,Approved,2025,5,May
250,1094,2025-11-30,Casual Leave,1,Pending,2025,11,November
251,1222,2025-09-21,Emergency Leave,1,Approved,2025,9,September
252,1436,2025-06-21,Sick Leave,1,Approved,2025,6,June
253,1385,2025-12-28,Casual Leave,2,Approved,2025,12,December
254,1449,2025-09-10,Emergency Leave,1,Approved,2025,9,September
255,1139,2025-09-21,Emergency Leave,1,Approved,2025,9,September
256,1296,2025-12-11,Earned Leave,1,Approved,2025,12,December
257,1335,2025-11-26,Emergency Leave,1,Approved,2025,11,November
258,1180,2025-07-30,Earned Leave,1,Approved,2025,7,July
259,1301,2025-07-03,Emergency Leave,1,Approved,2025,7,July
260,1429,2025-12-13,Emergency Leave,1,Approved,2025,12,December
261,1104,2025-09-10,Sick Leave,1,Approved,2025,9,September
262,1382,2025-04-23,Casual Leave,1,Approved,2025,4,April
263,1335,2025-07-16,Earned Leave,1,Pending,2025,7,July
264,1225,2025-12-14,Casual Leave,1,Rejected,2025,12,December
265,1415,2025-08-10,Emergency Leave,1,Approved,2025,8,August
266,1028,2025-07-07,Earned Leave,1,Approved,2025,7,July
267,1328,2025-01-26,Emergency Leave,1,Approved,2025,1,January
268,1210,2025-07-11,Earned Leave,1,Approved,2025,7,July
269,1332,2025-02-17,Casual Leave,1,Approved,2025,2,February
270,1131,2025-05-14,Earned Leave,1,Rejected,2025,5,May
271,1419,2025-09-21,Casual Leave,2,Approved,2025,9,September
272,1063,2025-02-21,Sick Leave,1,Rejected,2025,2,February
273,1049,2025-08-27,Sick Leave,1,Rejected,2025,8,August
274,1308,2025-01-10,Sick Leave,1,Approved,2025,1,January
275,1102,2025-07-16,Sick Leave,2,Approved,2025,7,July
276,1333,2025-01-19,Casual Leave,2,Approved,2025,1,January
277,1152,2025-10-16,Casual Leave,1,Rejected,2025,10,October
278,1466,2025-05-03,Earned Leave,1,Approved,2025,5,May
279,1061,2025-10-10,Emergency Leave,1,Approved,2025,10,October
280,1030,2025-09-21,Emergency Leave,1,Approved,2025,9,September
281,1294,2025-11-19,Sick Leave,2,Rejected,2025,11,November
282,1467,2025-05-07,Sick Leave,2,Approved,2025,5,May
283,1427,2025-12-25,Emergency Leave,1,Approved,2025,12,December
284,1117,2025-01-27,Earned Leave,1,Rejected,2025,1,January
285,1108,2025-12-07,Sick Leave,1,Rejected,2025,12,December
286,1320,2025-07-06,Emergency Leave,1,Approved,2025,7,July
287,1484,2025-12-29,Sick Leave,1,Approved,2025,12,December
288,1474,2025-09-15,Sick Leave,1,Approved,2025,9,September
289,1440,2025-11-10,Earned Leave,2,Approved,2025,11,November
290,1339,2025-01-02,Emergency Leave,1,Approved,2025,1,January
291,1333,2025-08-02,Casual Leave,1,Approved,2025,8,August
292,1257,2025-11-08,Sick Leave,1,Rejected,2025,11,November
293,1278,2025-09-20,Sick Leave,1,Rejected,2025,9,September
294,1065,2025-05-28,Earned Leave,2,Rejected,2025,5,May
295,1030,2025-12-03,Earned Leave,1,Approved,2025,12,December
296,1285,2025-01-07,Casual Leave,1,Rejected,2025,1,January
297,1331,2025-01-14,Earned Leave,1,Approved,2025,1,January
298,1302,2025-07-25,Casual Leave,1,Approved,2025,7,July
299,1434,2025-02-07,Sick Leave,1,Approved,2025,2,February
300,1093,2025-01-29,Sick Leave,2,Approved,2025,1,January
301,1107,2025-01-18,Sick Leave,1,Pending,2025,1,January
302,1358,2025-08-15,Earned Leave,2,Approved,2025,8,August
303,1163,2025-06-12,Casual Leave,1,Approved,2025,6,June
304,1149,2025-03-17,Emergency Leave,1,Rejected,2025,3,March
305,1146,2025-08-02,Earned Leave,1,Approved,2025,8,August
306,1486,2025-06-27,Sick Leave,2,Approved,2025,6,June
307,1389,2025-12-23,Casual Leave,1,Approved,2025,12,December
308,1350,2025-08-16,Earned Leave,1,Approved,2025,8,August
309,1417,2025-06-14,Casual Leave,1,Pending,2025,6,June
310,1481,2025-03-14,Sick Leave,2,Rejected,2025,3,March
311,1128,2025-07-23,Earned Leave,1,Approved,2025,7,July
312,1449,2025-09-08,Earned Leave,2,Approved,2025,9,September
313,1118,2025-08-02,Emergency Leave,1,Rejected,2025,8,August
314,1277,2025-04-20,Casual Leave,1,Approved,2025,4,April
315,1057,2025-01-16,Emergency Leave,1,Rejected,2025,1,January
316,1044,2025-11-23,Emergency Leave,1,Approved,2025,11,November
317,1328,2025-10-04,Casual Leave,1,Rejected,2025,10,October
318,1031,2025-08-18,Sick Leave,1,Approved,2025,8,August
319,1116,2025-11-01,Casual Leave,1,Rejected,2025,11,November
320,1227,2025-12-19,Earned Leave,2,Approved,2025,12,December
321,1034,2025-10-05,Earned Leave,1,Approved,2025,10,October
322,1223,2025-02-24,Casual Leave,1,Approved,2025,2,February
323,1363,2025-06-19,Earned Leave,1,Approved,2025,6,June
324,1482,2025-07-18,Sick Leave,1,Approved,2025,7,July
325,1135,2025-08-20,Casual Leave,2,Approved,2025,8,August
326,1005,2025-12-15,Emergency Leave,1,Approved,2025,12,December
327,1393,2025-10-11,Emergency Leave,1,Approved,2025,10,October
328,1440,2025-07-29,Emergency Leave,1,Approved,2025,7,July
329,1200,2025-01-30,Earned Leave,1,Rejected,2025,1,January
330,1298,2025-08-14,Sick Leave,2,Approved,2025,8,August
331,1036,2025-11-01,Emergency Leave,1,Approved,2025,11,November
332,1163,2025-11-18,Casual Leave,2,Approved,2025,11,November
333,1120,2025-05-01,Sick Leave,2,Approved,2025,5,May
334,1440,2025-08-05,Casual Leave,2,Approved,2025,8,August
335,1214,2025-06-13,Casual Leave,2,Approved,2025,6,June
336,1175,2025-08-15,Emergency Leave,1,Approved,2025,8,August
337,1197,2025-06-06,Earned Leave,1,Approved,2025,6,June
338,1353,2025-07-12,Casual Leave,2,Approved,2025,7,July
339,1441,2025-02-27,Sick Leave,1,Approved,2025,2,February
340,1173,2025-10-12,Emergency Leave,1,Approved,2025,10,October
341,1492,2025-03-11,Earned Leave,1,Rejected,2025,3,March
342,1015,2025-12-27,Sick Leave,1,Approved,2025,12,December
343,1297,2025-02-18,Emergency Leave,1,Approved,2025,2,February
344,1237,2025-12-27,Earned Leave,1,Approved,2025,12,December
345,1256,2025-05-02,Emergency Leave,1,Approved,2025,5,May
346,1489,2025-04-24,Emergency Leave,1,Approved,2025,4,April
347,1342,2025-09-17,Emergency Leave,2,Approved,2025,9,September
348,1115,2025-09-28,Earned Leave,1,Approved,2025,9,September
349,1460,2025-04-23,Sick Leave,1,Approved,2025,4,April
350,1118,2025-09-10,Earned Leave,2,Approved,2025,9,September
351,1081,2025-01-09,Earned Leave,1,Pending,2025,1,January
352,1215,2025-06-11,Casual Leave,1,Approved,2025,6,June
353,1074,2025-05-15,Sick Leave,1,Approved,2025,5,May
354,1302,2025-05-21,Sick Leave,1,Approved,2025,5,May
355,1472,2025-08-04,Emergency Leave,1,Approved,2025,8,August
356,1403,2025-02-12,Emergency Leave,1,Pending,2025,2,February
357,1443,2025-03-07,Emergency Leave,1,Approved,2025,3,March
358,1189,2025-05-18,Sick Leave,2,Approved,2025,5,May
359,1358,2025-10-21,Emergency Leave,1,Approved,2025,10,October
360,1082,2025-12-19,Earned Leave,1,Approved,2025,12,December
361,1327,2025-05-13,Emergency Leave,1,Approved,2025,5,May
362,1266,2025-11-27,Sick Leave,1,Approved,2025,11,November
363,1479,2025-11-08,Emergency Leave,2,Approved,2025,11,November
364,1297,2025-12-23,Casual Leave,1,Approved,2025,12,December
365,1480,2025-02-23,Casual Leave,2,Approved,2025,2,February
366,1427,2025-10-27,Casual Leave,2,Approved,2025,10,October
367,1120,2025-09-03,Sick Leave,1,Pending,2025,9,September
368,1081,2025-01-15,Casual Leave,2,Pending,2025,1,January
369,1404,2025-06-01,Sick Leave,1,Approved,2025,6,June
370,1268,2025-08-09,Emergency Leave,1,Rejected,2025,8,August
371,1500,2025-05-19,Casual Leave,1,Rejected,2025,5,May
372,1254,2025-11-27,Sick Leave,1,Approved,2025,11,November
373,1343,2025-11-27,Sick Leave,2,Rejected,2025,11,November
374,1348,2025-05-18,Sick Leave,1,Approved,2025,5,May
375,1311,2025-05-23,Earned Leave,1,Approved,2025,5,May
376,1030,2025-07-16,Sick Leave,1,Approved,2025,7,July
377,1349,2025-04-01,Earned Leave,1,Approved,2025,4,April
378,1294,2025-04-10,Emergency Leave,2,Pending,2025,4,April
379,1289,2025-05-25,Earned Leave,1,Approved,2025,5,May
380,1069,2025-08-10,Sick Leave,3,Rejected,2025,8,August
381,1041,2025-11-07,Casual Leave,2,Approved,2025,11,November
382,1127,2025-12-27,Emergency Leave,1,Approved,2025,12,December
383,1286,2025-04-29,Earned Leave,1,Approved,2025,4,April
384,1040,2025-07-01,Earned Leave,1,Rejected,2025,7,July
385,1302,2025-02-01,Sick Leave,1,Approved,2025,2,February
386,1358,2025-12-17,Earned Leave,1,Pending,2025,12,December
387,1134,2025-05-15,Casual Leave,2,Approved,2025,5,May
388,1445,2025-10-08,Casual Leave,2,Pending,2025,10,October
389,1367,2025-04-01,Earned Leave,1,Approved,2025,4,April
390,1096,2025-04-12,Earned Leave,1,Approved,2025,4,April
391,1141,2025-03-04,Earned Leave,1,Approved,2025,3,March
392,1427,2025-11-03,Emergency Leave,1,Approved,2025,11,November
393,1192,2025-09-20,Emergency Leave,3,Approved,2025,9,September
394,1214,2025-08-12,Earned Leave,1,Approved,2025,8,August
395,1110,2025-10-10,Sick Leave,1,Approved,2025,10,October
396,1447,2025-07-13,Casual Leave,3,Approved,2025,7,July
397,1386,2025-06-09,Earned Leave,1,Approved,2025,6,June
398,1445,2025-10-22,Earned Leave,1,Approved,2025,10,October
399,1111,2025-01-07,Sick Leave,1,Pending,2025,1,January
400,1307,2025-06-02,Emergency Leave,2,Approved,2025,6,June
401,1491,2025-09-10,Earned Leave,1,Approved,2025,9,September
402,1308,2025-09-01,Emergency Leave,2,Approved,2025,9,September
403,1052,2025-05-03,Emergency Leave,3,Approved,2025,5,May
404,1372,2025-07-02,Casual Leave,1,Approved,2025,7,July
405,1049,2025-03-17,Casual Leave,1,Approved,2025,3,March
406,1134,2025-06-13,Sick Leave,1,Rejected,2025,6,June
407,1308,2025-02-11,Casual Leave,2,Pending,2025,2,February
408,1342,2025-01-01,Casual Leave,1,Approved,2025,1,January
409,1040,2025-03-23,Emergency Leave,2,Approved,2025,3,March
410,1025,2025-03-18,Casual Leave,1,Approved,2025,3,March
411,1024,2025-04-11,Sick Leave,2,Approved,2025,4,April
412,1010,2025-06-09,Earned Leave,1,Approved,2025,6,June
413,1074,2025-02-08,Sick Leave,1,Approved,2025,2,February
414,1312,2025-06-15,Casual Leave,2,Approved,2025,6,June
415,1236,2025-05-10,Sick Leave,2,Approved,2025,5,May
416,1430,2025-01-03,Emergency Leave,1,Rejected,2025,1,January
417,1388,2025-06-28,Emergency Leave,2,Approved,2025,6,June
418,1416,2025-09-07,Earned Leave,2,Approved,2025,9,September
419,1198,2025-04-22,Earned Leave,1,Approved,2025,4,April
420,1198,2025-04-13,Casual Leave,1,Pending,2025,4,April
421,1141,2025-11-28,Sick Leave,2,Approved,2025,11,November
422,1467,2025-06-14,Casual Leave,1,Approved,2025,6,June
423,1309,2025-09-04,Emergency Leave,1,Approved,2025,9,September
424,1263,2025-02-11,Earned Leave,1,Approved,2025,2,February
425,1017,2025-06-01,Sick Leave,2,Approved,2025,6,June
426,1350,2025-02-21,Emergency Leave,2,Approved,2025,2,February
427,1216,2025-11-11,Sick Leave,2,Approved,2025,11,November
428,1339,2025-07-03,Casual Leave,1,Approved,2025,7,July
